year,scenario,scenario_label,nuts3,slr_m,flood_area_km2,flooded_pixels,gdp_at_risk_bn,buildings_count,buildings_value_bn,storeys
2050,ssp126,SSP1-2.6 (Low),Região de Coimbra,0.2,6.7875906036,9164,0.014079844,543.0,0.270010356,2.5
2050,ssp126,SSP1-2.6 (Low),Região de Leiria,0.2,0.0007406799,1,1.944e-06,0.1,2.9464e-05,2.0
2050,ssp126,SSP1-2.6 (Low),Terras de Trás-os-Montes,0.2,0.0,0,0.0,0.0,0.0,2.0
2050,ssp126,SSP1-2.6 (Low),Tâmega e Sousa,0.2,0.0,0,0.0,0.0,0.0,2.0
2050,ssp126,SSP1-2.6 (Low),Viseu Dão Lafões,0.2,0.0,0,0.0,0.0,0.0,2.0
2050,ssp126,SSP1-2.6 (Low),Área Metropolitana do Porto,0.2,0.029627196,40,0.00056028,14.8,0.011785699,4.0
2060,ssp126,SSP1-2.6 (Low),Alentejo Central,0.24,0.0,0,0.0,0.0,0.0,2.0
2060,ssp126,SSP1-2.6 (Low),Alentejo Litoral,0.24,6.5068729215,8785,0.003900814,195.2,0.058239767,1.5
2060,ssp126,SSP1-2.6 (Low),Algarve,0.24,5.5173245751,7449,0.013574848,1103.5,0.65843752,3.0
2060,ssp126,SSP1-2.6 (Low),Alto Alentejo,0.24,0.0,0,0.0,0.0,0.0,2.0
2060,ssp126,SSP1-2.6 (Low),Alto Minho,0.24,0.17109705690000002,231,0.000307497,10.3,0.003062808,1.5
2060,ssp126,SSP1-2.6 (Low),Alto Tâmega e Barroso,0.24,0.0,0,0.0,0.0,0.0,2.0
2060,ssp126,SSP1-2.6 (Low),Ave,0.24,0.0,0,0.0,0.0,0.0,2.0
2060,ssp126,SSP1-2.6 (Low),Baixo Alentejo,0.24,0.0,0,0.0,0.0,0.0,1.5
2060,ssp126,SSP1-2.6 (Low),Beira Baixa,0.24,0.0,0,0.0,0.0,0.0,2.0
2060,ssp126,SSP1-2.6 (Low),Beiras e Serra da Estrela,0.24,0.0,0,0.0,0.0,0.0,2.0
2060,ssp126,SSP1-2.6 (Low),Cávado,0.24,0.014813598,20,9.6572e-05,3.0,0.001473212,2.5
2060,ssp126,SSP1-2.6 (Low),Douro,0.24,0.0,0,0.0,0.0,0.0,2.0
2060,ssp126,SSP1-2.6 (Low),Grande Lisboa,0.24,8.2082146518,11082,0.447780886,6566.6,6.530455626,5.0
2060,ssp126,SSP1-2.6 (Low),Lezíria do Tejo,0.24,2.1161224743,2857,0.002264703,84.6,0.025253806,1.5
2060,ssp126,SSP1-2.6 (Low),Médio Tejo,0.24,0.0,0,0.0,0.0,0.0,2.0
2060,ssp126,SSP1-2.6 (Low),Oeste,0.24,0.3214550766,434,0.000937962,38.6,0.019181225,2.5
2060,ssp126,SSP1-2.6 (Low),Península de Setúbal,0.24,2.1731548266000003,2934,0.017745113,869.3,0.518688598,3.0
2060,ssp126,SSP1-2.6 (Low),Região de Aveiro,0.24,11.4405417354,15446,0.057485357,2860.1,1.422202355,2.5
2060,ssp126,SSP1-2.6 (Low),Região de Coimbra,0.24,7.9563834858,10742,0.01650433,636.5,0.316504937,2.5
2060,ssp126,SSP1-2.6 (Low),Região de Leiria,0.24,0.0007406799,1,1.944e-06,0.1,2.9464e-05,2.0
2060,ssp126,SSP1-2.6 (Low),Terras de Trás-os-Montes,0.24,0.0,0,0.0,0.0,0.0,2.0
