feature,feature_label,sub_type,type_label,elev,length_km,value_eur,value_m_eur,mid_lat,mid_lon,start_lat,start_lon,end_lat,end_lon
road,Road,primary,Primary,0.4903226494789123,0.9333,1866652.7455816185,1.87,40.78712,-8.681489,40.782309,-8.687894,40.78804,-8.679887
road,Road,primary,Primary,0.8552904725074768,0.8171,1634124.4565133743,1.63,40.77681,-8.692086,40.782246,-8.688141,40.775798,-8.692765
road,Road,residential,Residential,0.9832810759544371,0.3399,39088.02036815829,0.04,39.602894,-8.780455,39.603518,-8.782126,39.602535,-8.778497
road,Road,unclassified,Unclassified,0.1435942500829696,0.7037,80928.49316492827,0.08,38.076425,-8.768638,38.074158,-8.771205,38.078256,-8.765266
road,Road,unclassified,Unclassified,0.7144733667373657,0.4549,52317.40085547121,0.05,37.107258,-8.17854,37.108138,-8.180994,37.10649,-8.176346
road,Road,unclassified,Unclassified,0.8541854619979858,0.3109,35753.13779878808,0.04,39.434949,-8.971246,39.435361,-8.972356,39.433926,-8.969948
road,Road,residential,Residential,1.0477051734924316,0.0157,1801.0393273470584,0.0,38.0358,-8.4265,38.035885,-8.426357,38.0358,-8.4265
road,Road,residential,Residential,1.0477051734924316,0.0828,9525.331767608475,0.01,37.902952,-8.588704,37.902833,-8.588713,37.903532,-8.588413
road,Road,residential,Residential,0.956021785736084,0.1853,21308.75555507478,0.02,37.85327,-8.790971,37.85295,-8.791657,37.853792,-8.789837
road,Road,residential,Residential,1.0477051734924316,0.1587,18248.019087145924,0.02,37.095754,-8.188213,37.095535,-8.187355,37.096413,-8.188465
road,Road,unclassified,Unclassified,0.8325435519218445,0.3096,35600.80868822627,0.04,38.518687,-8.910373,38.519294,-8.908652,38.518348,-8.911808
road,Road,unclassified,Unclassified,0.1371660977602005,0.2275,26159.782958713113,0.03,39.660912,-8.462434,39.661346,-8.463821,39.660294,-8.46163
road,Road,residential,Residential,0.1389483958482742,1.416,162839.44124429245,0.16,40.753009,-8.668606,40.755956,-8.661621,40.749548,-8.675802
road,Road,residential,Residential,1.005147933959961,1.2297,141411.5536533524,0.14,40.758089,-8.669118,40.757551,-8.663541,40.760916,-8.676672
road,Road,unclassified,Unclassified,0.0066824341192841,0.8957,102999.93520883795,0.1,40.748557,-8.661873,40.749411,-8.657805,40.746479,-8.66665
road,Road,unclassified,Unclassified,0.1176046356558799,0.7126,81952.67486894567,0.08,39.801955,-8.432607,39.805503,-8.433975,39.799653,-8.432248
road,Road,residential,Residential,0.2337210774421692,0.0776,8924.694255697306,0.01,37.649799,-8.223942,37.649499,-8.224019,37.650189,-8.223985
road,Road,residential,Residential,0.5184454917907715,0.1711,19673.810481907647,0.02,37.583672,-8.723746,37.583842,-8.724217,37.583247,-8.722427
road,Road,unclassified,Unclassified,0.8083153963088989,0.6214,71458.57312509195,0.07,40.734588,-8.631687,40.734611,-8.634113,40.73375,-8.627888
road,Road,residential,Residential,1.005147933959961,0.1349,15510.925415875192,0.02,37.665985,-8.176868,37.666272,-8.17747,37.665732,-8.176107
road,Road,residential,Residential,1.0017739534378052,0.3743,43040.08326139668,0.04,37.108205,-8.031596,37.10955,-8.030546,37.106906,-8.032772
road,Road,residential,Residential,1.0137523412704468,0.3573,41086.41026870794,0.04,39.40817,-8.420267,39.406138,-8.420815,39.409237,-8.419956
road,Road,residential,Residential,0.9945926070213318,0.3891,44741.72971092208,0.04,37.158776,-8.614357,37.157593,-8.614406,37.160356,-8.613597
road,Road,residential,Residential,1.0069856643676758,0.2004,23044.71988711076,0.02,37.958506,-8.872841,37.958065,-8.874364,37.95869,-8.872221
road,Road,unclassified,Unclassified,0.7874095439910889,0.1184,13616.961336153758,0.01,37.603714,-8.732888,37.604244,-8.732154,37.603543,-8.733163
road,Road,unclassified,Unclassified,0.6934816837310791,0.1046,12030.874607275711,0.01,37.990219,-8.823392,37.990157,-8.822791,37.99065,-8.823556
road,Road,residential,Residential,1.0476796627044678,0.7744,89060.2190164657,0.09,40.813691,-8.628727,40.810086,-8.628888,40.813333,-8.626117
road,Road,unclassified,Unclassified,0.6539945602416992,0.8623,99158.89159679953,0.1,40.809121,-8.61731,40.806345,-8.619093,40.812525,-8.615019
road,Road,primary,Primary,0.9687516689300536,1.5697,3139330.7886272124,3.14,40.798335,-8.674087,40.805213,-8.672647,40.79153,-8.674814
road,Road,residential,Residential,0.8396466970443726,0.0956,10996.105166732646,0.01,37.701327,-8.090141,37.700584,-8.090687,37.701327,-8.090141
road,Road,secondary,Secondary,0.950162708759308,0.2373,118625.52739103208,0.12,41.374193,-8.703943,41.373823,-8.702636,41.374582,-8.705293
road,Road,residential,Residential,0.9235169291496276,0.0788,9066.32501546303,0.01,37.95587,-8.868664,37.956416,-8.868723,37.955712,-8.86863
road,Road,unclassified,Unclassified,0.4864539206027984,2.8389,326467.87978965224,0.33,40.717478,-8.624884,40.709442,-8.628011,40.721468,-8.604397
road,Road,unclassified,Unclassified,0.2083440423011779,0.6343,72947.58109095469,0.07,40.642281,-8.668603,40.640572,-8.672163,40.643613,-8.665802
road,Road,unclassified,Unclassified,0.3453398048877716,1.1607,133479.93543941146,0.13,39.650362,-8.497307,39.646358,-8.493716,39.648134,-8.502249
road,Road,unclassified,Unclassified,0.2085504531860351,0.4084,46962.03841320917,0.05,40.712807,-8.562971,40.711016,-8.562849,40.712097,-8.561497
road,Road,unclassified,Unclassified,0.8343513607978821,0.2711,31172.14352785895,0.03,37.026743,-7.830833,37.027533,-7.830573,37.02712,-7.828994
road,Road,primary,Primary,1.0,1.7576,3515251.528738218,3.52,41.106114,-8.527205,41.107026,-8.53194,41.097717,-8.523764
road,Road,residential,Residential,0.8889956474304199,0.0206,2365.1719219496326,0.0,38.282506,-8.732457,38.282374,-8.732623,38.282506,-8.732457
road,Road,tertiary,Tertiary,0.3450150787830353,0.0836,16713.278766588697,0.02,37.197198,-7.318937,37.197082,-7.318672,37.197082,-7.318672
