year_decimal,sea_level_m,flag
1946.875,7.039,0
1946.9583,6.9,99
1947.0417,6.942,99
1947.125,7.04,99
1947.2083,7.044,0
1947.2917,6.913,99
1947.375,6.96,0
1947.4583,6.93,0
1947.5417,6.935,0
1947.625,6.947,0
1947.7083,6.977,0
1947.7917,6.988,0
1947.875,6.999,99
1947.9583,6.917,0
1948.0417,6.918,99
1948.125,6.951,99
1948.2083,6.938,0
1948.2917,6.946,0
1948.375,7.006,0
1948.4583,6.937,99
1948.5417,6.961,99
1948.625,6.948,0
1948.7083,6.981,0
1948.7917,6.994,99
1948.875,6.962,99
1948.9583,7.051,99
1949.0417,6.895,99
1949.125,6.845,99
1949.2083,6.925,99
1949.2917,6.958,99
1949.375,6.954,0
1949.4583,6.908,99
1949.5417,6.945,99
1949.625,6.966,0
1949.7083,6.995,99
1949.7917,6.999,0
1949.875,6.978,99
1949.9583,6.984,99
1950.0417,6.948,99
1950.125,6.855,0
1950.2083,6.884,99
1950.2917,6.881,99
1950.375,6.959,99
1950.4583,6.954,0
1950.5417,6.943,99
1950.625,6.972,0
1950.7083,6.978,99
1950.7917,7.015,99
1950.875,7.033,99
1950.9583,6.997,99
1951.0417,6.895,99
1951.125,6.961,99
1951.2083,7.042,99
1951.2917,6.926,99
1951.375,6.931,99
1951.4583,6.946,99
1951.5417,6.936,99
1951.625,6.868,0
1951.7083,6.926,99
1951.7917,6.946,99
1951.875,7.031,0
1951.9583,6.963,99
1955.0417,6.918,99
1955.125,6.989,99
1955.2083,7.04,99
1955.2917,6.947,0
1955.375,6.933,99
1955.4583,6.96,0
1955.5417,6.979,99
1955.625,6.942,99
1955.7083,6.974,0
1955.7917,7.08,0
1955.875,7.158,99
1955.9583,7.017,99
1956.0417,6.999,99
1956.125,6.956,99
1956.2083,6.947,0
1956.2917,6.972,0
1956.375,6.903,99
1956.4583,6.897,99
1956.5417,6.927,99
1956.625,6.928,99
1956.7083,6.957,99
1956.7917,7.014,99
1956.875,6.988,99
1956.9583,6.919,99
1957.0417,6.896,99
1957.125,6.925,99
1957.2083,7.006,99
1957.2917,6.915,0
1957.375,6.931,99
1957.4583,6.92,0
1957.5417,6.956,0
1957.625,6.936,0
1957.7083,6.973,99
1957.7917,7.015,0
1957.875,7.009,99
1957.9583,6.964,99
1958.0417,6.903,0
1958.125,6.95,99
1958.2083,6.943,99
1958.2917,6.872,99
1958.375,6.852,99
1958.4583,6.91,0
1958.5417,6.877,0
1958.625,6.932,0
1958.7083,6.944,0
1958.7917,6.958,0
1958.875,6.957,0
1958.9583,7.009,99
1959.0417,6.978,99
1960.375,6.986,0
1960.4583,6.971,0
1960.5417,6.951,1
1960.625,6.98,1
1960.7083,7.004,0
1960.7917,7.084,0
1960.875,7.038,4
1960.9583,6.922,1
1961.0417,6.871,3
1961.125,6.886,5
1961.2083,7.024,15
1961.2917,6.962,4
1961.375,7.044,2
1961.4583,6.972,2
1961.5417,6.981,5
1961.625,6.986,1
1961.7083,7.017,3
1961.7917,7.017,1
1961.875,7.125,0
1961.9583,7.103,0
1962.0417,6.991,1
1962.125,6.912,1
1962.2083,7.053,4
1962.2917,6.971,0
1962.375,6.933,0
1962.4583,6.998,0
1962.5417,6.962,0
1962.625,6.966,1
1962.7083,7.019,0
1962.7917,7.108,1
1962.875,7.074,3
1962.9583,7.003,0
1963.0417,7.185,0
1963.125,7.075,0
1963.2083,6.933,0
1963.2917,7.015,0
1963.375,6.964,0
1963.4583,7.02,0
1963.5417,6.977,0
1963.625,6.939,0
1963.7083,6.975,0
1963.7917,7.013,0
1963.875,7.118,0
1963.9583,7.16,0
1964.0417,7.034,0
1964.125,7.03,0
