year,scenario,slr_m,nuts3,flooded_pixels,total_pixels,fraction_flooded,gdp_2022_eur,gdp_at_risk_eur
2029,ssp126,0.063,Grande Lisboa,2168,1869180,0.00115987,75526356000.0,87600520.0
2029,ssp126,0.063,Lezíria do Tejo,312,5770151,5.407e-05,4573917000.0,247318.0
2029,ssp126,0.063,Médio Tejo,0,3675180,0.0,3853435000.0,0.0
2029,ssp126,0.063,Oeste,75,3003380,2.497e-05,6490912000.0,162090.0
2029,ssp126,0.063,Península de Setúbal,578,2178612,0.00026531,13176454000.0,3495799.0
2029,ssp126,0.063,Região de Aveiro,3299,2335224,0.00141271,8691000000.0,12277884.0
2029,ssp126,0.063,Região de Coimbra,3003,5944890,0.00050514,9133907000.0,4613899.0
2029,ssp126,0.063,Região de Leiria,0,3339196,0.0,6490351000.0,0.0
2029,ssp126,0.063,Terras de Trás-os-Montes,0,88881,0.0,1790127000.0,0.0
2029,ssp126,0.063,Tâmega e Sousa,0,2547800,0.0,6047036000.0,0.0
2029,ssp126,0.063,Viseu Dão Lafões,0,4470914,0.0,4590096000.0,0.0
2029,ssp126,0.063,Área Metropolitana do Porto,22,2835070,7.76e-06,39710799000.0,308154.0
2030,ssp126,0.07,Alentejo Central,0,9513995,0.0,2958516000.0,0.0
2030,ssp126,0.07,Alentejo Litoral,2323,7057470,0.00032915,3133737000.0,1031485.0
2030,ssp126,0.07,Algarve,1663,6576139,0.00025288,11984171000.0,3030604.0
2030,ssp126,0.07,Alto Alentejo,0,6846985,0.0,1798575000.0,0.0
2030,ssp126,0.07,Alto Minho,38,3118798,1.218e-05,4151610000.0,50584.0
2030,ssp126,0.07,Alto Tâmega e Barroso,0,3727313,0.0,1241947000.0,0.0
2030,ssp126,0.07,Ave,0,2028246,0.0,8045336000.0,0.0
2030,ssp126,0.07,Baixo Alentejo,0,10402855,0.0,2588500000.0,0.0
2030,ssp126,0.07,Beira Baixa,0,4429690,0.0,1869355000.0,0.0
2030,ssp126,0.07,Beiras e Serra da Estrela,0,4230651,0.0,3339166000.0,0.0
2030,ssp126,0.07,Cávado,1,1744158,5.7e-07,8421876000.0,4829.0
2030,ssp126,0.07,Douro,0,3853582,0.0,3054160000.0,0.0
2030,ssp126,0.07,Grande Lisboa,2440,1869180,0.00130539,75526356000.0,98590991.0
2030,ssp126,0.07,Lezíria do Tejo,374,5770151,6.482e-05,4573917000.0,296465.0
2030,ssp126,0.07,Médio Tejo,0,3675180,0.0,3853435000.0,0.0
2030,ssp126,0.07,Oeste,82,3003380,2.73e-05,6490912000.0,177219.0
2030,ssp126,0.07,Península de Setúbal,641,2178612,0.00029422,13176454000.0,3876829.0
2030,ssp126,0.07,Região de Aveiro,3711,2335224,0.00158914,8691000000.0,13811224.0
2030,ssp126,0.07,Região de Coimbra,3328,5944890,0.00055981,9133907000.0,5113239.0
2030,ssp126,0.07,Região de Leiria,0,3339196,0.0,6490351000.0,0.0
2030,ssp126,0.07,Terras de Trás-os-Montes,0,88881,0.0,1790127000.0,0.0
2030,ssp126,0.07,Tâmega e Sousa,0,2547800,0.0,6047036000.0,0.0
2030,ssp126,0.07,Viseu Dão Lafões,0,4470914,0.0,4590096000.0,0.0
2030,ssp126,0.07,Área Metropolitana do Porto,23,2835070,8.11e-06,39710799000.0,322161.0
2031,ssp126,0.0765,Alentejo Central,0,9513995,0.0,2958516000.0,0.0
2031,ssp126,0.0765,Alentejo Litoral,2571,7057470,0.00036429,3133737000.0,1141604.0
2031,ssp126,0.0765,Algarve,1844,6576139,0.00028041,11984171000.0,3360454.0
2031,ssp126,0.0765,Alto Alentejo,0,6846985,0.0,1798575000.0,0.0
2031,ssp126,0.0765,Alto Minho,41,3118798,1.315e-05,4151610000.0,54577.0
2031,ssp126,0.0765,Alto Tâmega e Barroso,0,3727313,0.0,1241947000.0,0.0
2031,ssp126,0.0765,Ave,0,2028246,0.0,8045336000.0,0.0
2031,ssp126,0.0765,Baixo Alentejo,0,10402855,0.0,2588500000.0,0.0
2031,ssp126,0.0765,Beira Baixa,0,4429690,0.0,1869355000.0,0.0
2031,ssp126,0.0765,Beiras e Serra da Estrela,0,4230651,0.0,3339166000.0,0.0
2031,ssp126,0.0765,Cávado,1,1744158,5.7e-07,8421876000.0,4829.0
2031,ssp126,0.0765,Douro,0,3853582,0.0,3054160000.0,0.0
2031,ssp126,0.0765,Grande Lisboa,2693,1869180,0.00144074,75526356000.0,108813745.0
2031,ssp126,0.0765,Lezíria do Tejo,420,5770151,7.279e-05,4573917000.0,332928.0
2031,ssp126,0.0765,Médio Tejo,0,3675180,0.0,3853435000.0,0.0
2031,ssp126,0.0765,Oeste,93,3003380,3.097e-05,6490912000.0,200992.0
2031,ssp126,0.0765,Península de Setúbal,713,2178612,0.00032727,13176454000.0,4312292.0
2031,ssp126,0.0765,Região de Aveiro,4063,2335224,0.00173988,8691000000.0,15121262.0
2031,ssp126,0.0765,Região de Coimbra,3666,5944890,0.00061666,9133907000.0,5632552.0
2031,ssp126,0.0765,Região de Leiria,0,3339196,0.0,6490351000.0,0.0
2031,ssp126,0.0765,Terras de Trás-os-Montes,0,88881,0.0,1790127000.0,0.0
2031,ssp126,0.0765,Tâmega e Sousa,0,2547800,0.0,6047036000.0,0.0
2031,ssp126,0.0765,Viseu Dão Lafões,0,4470914,0.0,4590096000.0,0.0
2031,ssp126,0.0765,Área Metropolitana do Porto,23,2835070,8.11e-06,39710799000.0,322161.0
2032,ssp126,0.083,Alentejo Central,0,9513995,0.0,2958516000.0,0.0
2032,ssp126,0.083,Alentejo Litoral,2825,7057470,0.00040029,3133737000.0,1254388.0
2032,ssp126,0.083,Algarve,2001,6576139,0.00030428,11984171000.0,3646566.0
2032,ssp126,0.083,Alto Alentejo,0,6846985,0.0,1798575000.0,0.0
2032,ssp126,0.083,Alto Minho,42,3118798,1.347e-05,4151610000.0,55909.0
2032,ssp126,0.083,Alto Tâmega e Barroso,0,3727313,0.0,1241947000.0,0.0
2032,ssp126,0.083,Ave,0,2028246,0.0,8045336000.0,0.0
2032,ssp126,0.083,Baixo Alentejo,0,10402855,0.0,2588500000.0,0.0
2032,ssp126,0.083,Beira Baixa,0,4429690,0.0,1869355000.0,0.0
2032,ssp126,0.083,Beiras e Serra da Estrela,0,4230651,0.0,3339166000.0,0.0
2032,ssp126,0.083,Cávado,1,1744158,5.7e-07,8421876000.0,4829.0
2032,ssp126,0.083,Douro,0,3853582,0.0,3054160000.0,0.0
2032,ssp126,0.083,Grande Lisboa,2967,1869180,0.00158733,75526356000.0,119885029.0
2032,ssp126,0.083,Lezíria do Tejo,479,5770151,8.301e-05,4573917000.0,379697.0
2032,ssp126,0.083,Médio Tejo,0,3675180,0.0,3853435000.0,0.0
2032,ssp126,0.083,Oeste,98,3003380,3.263e-05,6490912000.0,211798.0
2032,ssp126,0.083,Península de Setúbal,785,2178612,0.00036032,13176454000.0,4747755.0
2032,ssp126,0.083,Região de Aveiro,4463,2335224,0.00191117,8691000000.0,16609941.0
2032,ssp126,0.083,Região de Coimbra,3994,5944890,0.00067184,9133907000.0,6136501.0
2032,ssp126,0.083,Região de Leiria,0,3339196,0.0,6490351000.0,0.0
2032,ssp126,0.083,Terras de Trás-os-Montes,0,88881,0.0,1790127000.0,0.0
2032,ssp126,0.083,Tâmega e Sousa,0,2547800,0.0,6047036000.0,0.0
2032,ssp126,0.083,Viseu Dão Lafões,0,4470914,0.0,4590096000.0,0.0
2032,ssp126,0.083,Área Metropolitana do Porto,25,2835070,8.82e-06,39710799000.0,350175.0
2033,ssp126,0.0895,Alentejo Central,0,9513995,0.0,2958516000.0,0.0
2033,ssp126,0.0895,Alentejo Litoral,3038,7057470,0.00043047,3133737000.0,1348967.0
2033,ssp126,0.0895,Algarve,2175,6576139,0.00033074,11984171000.0,3963659.0
2033,ssp126,0.0895,Alto Alentejo,0,6846985,0.0,1798575000.0,0.0
2033,ssp126,0.0895,Alto Minho,43,3118798,1.379e-05,4151610000.0,57240.0
2033,ssp126,0.0895,Alto Tâmega e Barroso,0,3727313,0.0,1241947000.0,0.0
2033,ssp126,0.0895,Ave,0,2028246,0.0,8045336000.0,0.0
2033,ssp126,0.0895,Baixo Alentejo,0,10402855,0.0,2588500000.0,0.0
2033,ssp126,0.0895,Beira Baixa,0,4429690,0.0,1869355000.0,0.0
2033,ssp126,0.0895,Beiras e Serra da Estrela,0,4230651,0.0,3339166000.0,0.0
2033,ssp126,0.0895,Cávado,1,1744158,5.7e-07,8421876000.0,4829.0
2033,ssp126,0.0895,Douro,0,3853582,0.0,3054160000.0,0.0
2033,ssp126,0.0895,Grande Lisboa,3230,1869180,0.00172803,75526356000.0,130511845.0
2033,ssp126,0.0895,Lezíria do Tejo,525,5770151,9.099e-05,4573917000.0,416160.0
2033,ssp126,0.0895,Médio Tejo,0,3675180,0.0,3853435000.0,0.0
2033,ssp126,0.0895,Oeste,107,3003380,3.563e-05,6490912000.0,231249.0
2033,ssp126,0.0895,Península de Setúbal,841,2178612,0.00038603,13176454000.0,5086449.0
2033,ssp126,0.0895,Região de Aveiro,4862,2335224,0.00208203,8691000000.0,18094899.0
2033,ssp126,0.0895,Região de Coimbra,4323,5944890,0.00072718,9133907000.0,6641987.0
2033,ssp126,0.0895,Região de Leiria,0,3339196,0.0,6490351000.0,0.0
2033,ssp126,0.0895,Terras de Trás-os-Montes,0,88881,0.0,1790127000.0,0.0
2033,ssp126,0.0895,Tâmega e Sousa,0,2547800,0.0,6047036000.0,0.0
2033,ssp126,0.0895,Viseu Dão Lafões,0,4470914,0.0,4590096000.0,0.0
2033,ssp126,0.0895,Área Metropolitana do Porto,27,2835070,9.52e-06,39710799000.0,378189.0
2034,ssp126,0.096,Alentejo Central,0,9513995,0.0,2958516000.0,0.0
2034,ssp126,0.096,Alentejo Litoral,3258,7057470,0.00046164,3133737000.0,1446654.0
2034,ssp126,0.096,Algarve,2349,6576139,0.0003572,11984171000.0,4280752.0
2034,ssp126,0.096,Alto Alentejo,0,6846985,0.0,1798575000.0,0.0
2034,ssp126,0.096,Alto Minho,46,3118798,1.475e-05,4151610000.0,61233.0
2034,ssp126,0.096,Alto Tâmega e Barroso,0,3727313,0.0,1241947000.0,0.0
2034,ssp126,0.096,Ave,0,2028246,0.0,8045336000.0,0.0
2034,ssp126,0.096,Baixo Alentejo,0,10402855,0.0,2588500000.0,0.0
2034,ssp126,0.096,Beira Baixa,0,4429690,0.0,1869355000.0,0.0
2034,ssp126,0.096,Beiras e Serra da Estrela,0,4230651,0.0,3339166000.0,0.0
2034,ssp126,0.096,Cávado,2,1744158,1.15e-06,8421876000.0,9657.0
2034,ssp126,0.096,Douro,0,3853582,0.0,3054160000.0,0.0
2034,ssp126,0.096,Grande Lisboa,3507,1869180,0.00187622,75526356000.0,141704347.0
2034,ssp126,0.096,Lezíria do Tejo,580,5770151,0.00010052,4573917000.0,459758.0
2034,ssp126,0.096,Médio Tejo,0,3675180,0.0,3853435000.0,0.0
2034,ssp126,0.096,Oeste,114,3003380,3.796e-05,6490912000.0,246377.0
2034,ssp126,0.096,Península de Setúbal,921,2178612,0.00042275,13176454000.0,5570296.0
2034,ssp126,0.096,Região de Aveiro,5268,2335224,0.00225589,8691000000.0,19605908.0
