scenario,variant,option,option_name,capex_low_M,capex_high_M,key_year,cum_no_adapt_bn,cum_adapt_bn,savings_bn,be_year_low_capex,be_year_mid_capex,be_year_hi_capex
SSP2-4.5,+geoid,1a,Embankment raising — SSP2-4.5 lower bound (+0.69 m),11.9,19.9,2100,0.029,0.0145,0.0145,2096,>2100,>2100
SSP2-4.5,+geoid,1b,Embankment raising — SSP5-8.5 design (+1.08 m),18.7,31.1,2030,0.0001,0.0001,0.0001,>2100,>2100,>2100
SSP2-4.5,+geoid,1b,Embankment raising — SSP5-8.5 design (+1.08 m),18.7,31.1,2050,0.0015,0.0007,0.0007,>2100,>2100,>2100
SSP2-4.5,+geoid,1b,Embankment raising — SSP5-8.5 design (+1.08 m),18.7,31.1,2075,0.008,0.004,0.004,>2100,>2100,>2100
SSP2-4.5,+geoid,1b,Embankment raising — SSP5-8.5 design (+1.08 m),18.7,31.1,2100,0.029,0.0145,0.0145,>2100,>2100,>2100
SSP2-4.5,+geoid,2,Flood protection barriers (sheet piling),17.9,29.8,2030,0.0001,0.0001,0.0001,>2100,>2100,>2100
SSP2-4.5,+geoid,2,Flood protection barriers (sheet piling),17.9,29.8,2050,0.0015,0.0008,0.0007,>2100,>2100,>2100
SSP2-4.5,+geoid,2,Flood protection barriers (sheet piling),17.9,29.8,2075,0.008,0.0044,0.0035,>2100,>2100,>2100
SSP2-4.5,+geoid,2,Flood protection barriers (sheet piling),17.9,29.8,2100,0.029,0.0161,0.0129,>2100,>2100,>2100
SSP2-4.5,+geoid,3,Service resilience protocol,0.7,1.3,2030,0.0001,0.0001,0.0001,2050,2054,2057
SSP2-4.5,+geoid,3,Service resilience protocol,0.7,1.3,2050,0.0015,0.0007,0.0007,2050,2054,2057
SSP2-4.5,+geoid,3,Service resilience protocol,0.7,1.3,2075,0.008,0.004,0.004,2050,2054,2057
SSP2-4.5,+geoid,3,Service resilience protocol,0.7,1.3,2100,0.029,0.0145,0.0145,2050,2054,2057
SSP5-8.5,baseline,1a,Embankment raising — SSP2-4.5 lower bound (+0.69 m),11.9,19.9,2030,0.0,0.0,0.0,2084,2087,2090
SSP5-8.5,baseline,1a,Embankment raising — SSP2-4.5 lower bound (+0.69 m),11.9,19.9,2050,0.0008,0.0004,0.0004,2084,2087,2090
SSP5-8.5,baseline,1a,Embankment raising — SSP2-4.5 lower bound (+0.69 m),11.9,19.9,2075,0.0103,0.0052,0.0052,2084,2087,2090
SSP5-8.5,baseline,1a,Embankment raising — SSP2-4.5 lower bound (+0.69 m),11.9,19.9,2100,0.1037,0.0536,0.0501,2084,2087,2090
SSP5-8.5,baseline,1b,Embankment raising — SSP5-8.5 design (+1.08 m),18.7,31.1,2030,0.0,0.0,0.0,2089,2092,2095
SSP5-8.5,baseline,1b,Embankment raising — SSP5-8.5 design (+1.08 m),18.7,31.1,2050,0.0008,0.0004,0.0004,2089,2092,2095
SSP5-8.5,baseline,1b,Embankment raising — SSP5-8.5 design (+1.08 m),18.7,31.1,2075,0.0103,0.0052,0.0052,2089,2092,2095
SSP5-8.5,baseline,1b,Embankment raising — SSP5-8.5 design (+1.08 m),18.7,31.1,2100,0.1037,0.0536,0.0501,2089,2092,2095
SSP5-8.5,baseline,2,Flood protection barriers (sheet piling),17.9,29.8,2030,0.0,0.0,0.0,2090,2093,2095
SSP5-8.5,baseline,2,Flood protection barriers (sheet piling),17.9,29.8,2050,0.0008,0.0005,0.0004,2090,2093,2095
SSP5-8.5,baseline,2,Flood protection barriers (sheet piling),17.9,29.8,2075,0.0103,0.0057,0.0046,2090,2093,2095
SSP5-8.5,baseline,2,Flood protection barriers (sheet piling),17.9,29.8,2100,0.1037,0.0595,0.0441,2090,2093,2095
SSP5-8.5,baseline,3,Service resilience protocol,0.7,1.3,2030,0.0,0.0,0.0,2055,2059,2061
SSP5-8.5,baseline,3,Service resilience protocol,0.7,1.3,2050,0.0008,0.0004,0.0004,2055,2059,2061
SSP5-8.5,baseline,3,Service resilience protocol,0.7,1.3,2075,0.0103,0.0052,0.0052,2055,2059,2061
SSP5-8.5,baseline,3,Service resilience protocol,0.7,1.3,2100,0.1037,0.0536,0.0501,2055,2059,2061
SSP5-8.5,+geoid,1a,Embankment raising — SSP2-4.5 lower bound (+0.69 m),11.9,19.9,2030,0.0002,0.0001,0.0001,2072,2075,2077
SSP5-8.5,+geoid,1a,Embankment raising — SSP2-4.5 lower bound (+0.69 m),11.9,19.9,2050,0.0027,0.0014,0.0014,2072,2075,2077
SSP5-8.5,+geoid,1a,Embankment raising — SSP2-4.5 lower bound (+0.69 m),11.9,19.9,2075,0.0333,0.0167,0.0167,2072,2075,2077
SSP5-8.5,+geoid,1a,Embankment raising — SSP2-4.5 lower bound (+0.69 m),11.9,19.9,2100,0.1969,0.1407,0.0562,2072,2075,2077
SSP5-8.5,+geoid,1b,Embankment raising — SSP5-8.5 design (+1.08 m),18.7,31.1,2030,0.0002,0.0001,0.0001,2077,2080,2082
SSP5-8.5,+geoid,1b,Embankment raising — SSP5-8.5 design (+1.08 m),18.7,31.1,2050,0.0027,0.0014,0.0014,2077,2080,2082
SSP5-8.5,+geoid,1b,Embankment raising — SSP5-8.5 design (+1.08 m),18.7,31.1,2075,0.0333,0.0167,0.0167,2077,2080,2082
SSP5-8.5,+geoid,1b,Embankment raising — SSP5-8.5 design (+1.08 m),18.7,31.1,2100,0.1969,0.1407,0.0562,2077,2080,2082
SSP5-8.5,+geoid,2,Flood protection barriers (sheet piling),17.9,29.8,2030,0.0002,0.0001,0.0001,2078,2081,2083
SSP5-8.5,+geoid,2,Flood protection barriers (sheet piling),17.9,29.8,2050,0.0027,0.0015,0.0012,2078,2081,2083
SSP5-8.5,+geoid,2,Flood protection barriers (sheet piling),17.9,29.8,2075,0.0333,0.0185,0.0148,2078,2081,2083
SSP5-8.5,+geoid,2,Flood protection barriers (sheet piling),17.9,29.8,2100,0.1969,0.1492,0.0476,2078,2081,2083
SSP5-8.5,+geoid,3,Service resilience protocol,0.7,1.3,2030,0.0002,0.0001,0.0001,2045,2048,2050
SSP5-8.5,+geoid,3,Service resilience protocol,0.7,1.3,2050,0.0027,0.0014,0.0014,2045,2048,2050
SSP5-8.5,+geoid,3,Service resilience protocol,0.7,1.3,2075,0.0333,0.0167,0.0167,2045,2048,2050
SSP5-8.5,+geoid,3,Service resilience protocol,0.7,1.3,2100,0.1969,0.1407,0.0562,2045,2048,2050
