idx,lat,lon,elev_m,below_threshold
399,38.745016,-9.144444,43.343,False
400,38.74521,-9.142152,42.15,False
401,38.745403,-9.139859,35.873,False
402,38.745335,-9.140805,44.828,False
403,38.745346,-9.139866,47.405,False
404,38.745411,-9.139401,31.235,False
405,38.745618,-9.13711,54.674,False
406,38.745825,-9.134819,57.948,False
407,38.745993,-9.132523,61.629,False
408,38.746055,-9.130223,64.65,False
409,38.745416,-9.128088,44.68,False
410,38.744474,-9.126123,48.503,False
411,38.7442,-9.126417,37.446,False
412,38.744511,-9.128689,28.553,False
413,38.744822,-9.13096,40.65,False
414,38.745133,-9.133232,50.91,False
415,38.745444,-9.135503,47.06,False
416,38.745554,-9.137783,36.306,False
417,38.745514,-9.138321,25.624,False
418,38.745657,-9.136022,32.636,False
419,38.745826,-9.133727,32.774,False
420,38.74599,-9.131431,28.14,False
421,38.745766,-9.129166,31.399,False
422,38.744882,-9.127161,29.347,False
423,38.743942,-9.125195,31.636,False
424,38.74402,-9.125261,28.866,False
425,38.744957,-9.127229,33.375,False
426,38.74583,-9.12924,33.056,False
427,38.746024,-9.131512,25.482,False
428,38.745874,-9.13381,27.547,False
429,38.745393,-9.132266,41.201,False
430,38.744858,-9.130064,50.909,False
431,38.744322,-9.127863,43.28,False
432,38.743786,-9.125661,36.325,False
433,38.743764,-9.124924,36.733,False
434,38.744526,-9.12701,50.112,False
435,38.745514,-9.128933,62.606,False
436,38.745925,-9.131157,77.755,False
437,38.745789,-9.133456,72.861,False
438,38.745393,-9.13287,55.826,False
439,38.744904,-9.130651,40.785,False
440,38.744415,-9.128431,44.434,False
441,38.743925,-9.126212,43.968,False
442,38.74338,-9.124025,67.903,False
443,38.742175,-9.122339,70.841,False
444,38.740725,-9.12098,70.27,False
445,38.739456,-9.119348,77.211,False
446,38.73824,-9.117649,87.107,False
447,38.737609,-9.116264,86.596,False
448,38.737811,-9.1168,97.033,False
449,38.737921,-9.117141,97.203,False
450,38.737385,-9.115587,79.679,False
451,38.737257,-9.11331,59.483,False
452,38.737844,-9.111145,45.368,False
453,38.738816,-9.109206,55.966,False
454,38.739965,-9.107442,59.454,False
455,38.741446,-9.106139,67.219,False
456,38.742553,-9.105193,53.578,False
457,38.741032,-9.106422,27.859,False
458,38.739607,-9.107817,52.807,False
459,38.738538,-9.109666,55.59,False
460,38.73761,-9.111638,56.42,False
