section,lat,lon,elev_m,flood_zone
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.849936,-9.062117,-0.064,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.844755,-9.0645,-0.062,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.81001,-9.08847,-0.055,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.850323,-9.061824,-0.05,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.849453,-9.061092,-0.04,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.846321,-9.063364,-0.04,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.805607,-9.08964,-0.032,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.806928,-9.089289,-0.027,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.805877,-9.08921,-0.021,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.809569,-9.088587,0.0,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.809129,-9.088704,0.0,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.947882,-8.991415,0.0,Alverca / Vila Franca (events: 2026)
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.949073,-8.9906,0.0,Alverca / Vila Franca (events: 2026)
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.949832,-8.990028,0.0,Alverca / Vila Franca (events: 2026)
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.949038,-8.990571,0.0,Alverca / Vila Franca (events: 2026)
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.947847,-8.991386,0.0,Alverca / Vila Franca (events: 2026)
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.806318,-9.089098,0.0,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.806759,-9.088985,0.0,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.8072,-9.088873,0.0,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.807641,-9.08876,0.0,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
A — Sacavém / Bobadela → Vila Franca de Xira (~22 km),38.808082,-9.088647,0.0,"Sacavém / Bobadela (events: 2008, 2014, 2026)"
