scenario,year,variant,slr_m,nuts3,flooded_pixels,total_pixels,fraction_flooded,gdp_2022_eur,gdp_at_risk_eur
SSP2-4.5,2050,geoid_offset,0.45,Viseu Dão Lafões,0,279442,0.0,4590096000.0,0.0
SSP2-4.5,2050,geoid_offset,0.45,Área Metropolitana do Porto,3,177181,1.693e-05,39710799000.0,672376.82
SSP2-4.5,2075,baseline,0.45,Alentejo Central,0,594710,0.0,2958516000.0,0.0
SSP2-4.5,2075,baseline,0.45,Alentejo Litoral,1049,441094,0.00237818,3133737000.0,7452584.06
SSP2-4.5,2075,baseline,0.45,Algarve,1171,411031,0.00284893,11984171000.0,34142106.66
SSP2-4.5,2075,baseline,0.45,Alto Alentejo,0,428045,0.0,1798575000.0,0.0
SSP2-4.5,2075,baseline,0.45,Alto Minho,65,194924,0.00033346,4151610000.0,1384409.56
SSP2-4.5,2075,baseline,0.45,Alto Tâmega e Barroso,0,233032,0.0,1241947000.0,0.0
SSP2-4.5,2075,baseline,0.45,Ave,0,126782,0.0,8045336000.0,0.0
SSP2-4.5,2075,baseline,0.45,Baixo Alentejo,0,650296,0.0,2588500000.0,0.0
SSP2-4.5,2075,baseline,0.45,Beira Baixa,0,276956,0.0,1869355000.0,0.0
SSP2-4.5,2075,baseline,0.45,Beiras e Serra da Estrela,0,264614,0.0,3339166000.0,0.0
SSP2-4.5,2075,baseline,0.45,Cávado,7,109018,6.421e-05,8421876000.0,540765.12
SSP2-4.5,2075,baseline,0.45,Douro,0,240914,0.0,3054160000.0,0.0
SSP2-4.5,2075,baseline,0.45,Grande Lisboa,1783,116836,0.01526071,75526356000.0,1152585613.58
SSP2-4.5,2075,baseline,0.45,Lezíria do Tejo,658,360615,0.00182466,4573917000.0,8345846.36
SSP2-4.5,2075,baseline,0.45,Médio Tejo,0,229750,0.0,3853435000.0,0.0
SSP2-4.5,2075,baseline,0.45,Oeste,85,187694,0.00045286,6490912000.0,2939505.37
SSP2-4.5,2075,baseline,0.45,Península de Setúbal,483,136157,0.00354738,13176454000.0,46741829.52
SSP2-4.5,2075,baseline,0.45,Região de Aveiro,2210,145936,0.01514362,8691000000.0,131613241.42
SSP2-4.5,2075,baseline,0.45,Região de Coimbra,1094,371551,0.00294441,9133907000.0,26894004.48
SSP2-4.5,2075,baseline,0.45,Região de Leiria,1,208682,4.79e-06,6490351000.0,31101.63
SSP2-4.5,2075,baseline,0.45,Terras de Trás-os-Montes,0,5591,0.0,1790127000.0,0.0
SSP2-4.5,2075,baseline,0.45,Tâmega e Sousa,0,159228,0.0,6047036000.0,0.0
SSP2-4.5,2075,baseline,0.45,Viseu Dão Lafões,0,279442,0.0,4590096000.0,0.0
SSP2-4.5,2075,baseline,0.45,Área Metropolitana do Porto,3,177181,1.693e-05,39710799000.0,672376.82
SSP2-4.5,2075,geoid_offset,0.6,Alentejo Central,0,594710,0.0,2958516000.0,0.0
SSP2-4.5,2075,geoid_offset,0.6,Alentejo Litoral,1476,441094,0.00334623,3133737000.0,10486190.73
SSP2-4.5,2075,geoid_offset,0.6,Algarve,2239,411031,0.00544728,11984171000.0,65281107.43
SSP2-4.5,2075,geoid_offset,0.6,Alto Alentejo,0,428045,0.0,1798575000.0,0.0
SSP2-4.5,2075,geoid_offset,0.6,Alto Minho,156,194924,0.00080031,4151610000.0,3322582.96
SSP2-4.5,2075,geoid_offset,0.6,Alto Tâmega e Barroso,0,233032,0.0,1241947000.0,0.0
SSP2-4.5,2075,geoid_offset,0.6,Ave,0,126782,0.0,8045336000.0,0.0
SSP2-4.5,2075,geoid_offset,0.6,Baixo Alentejo,0,650296,0.0,2588500000.0,0.0
SSP2-4.5,2075,geoid_offset,0.6,Beira Baixa,0,276956,0.0,1869355000.0,0.0
SSP2-4.5,2075,geoid_offset,0.6,Beiras e Serra da Estrela,0,264614,0.0,3339166000.0,0.0
SSP2-4.5,2075,geoid_offset,0.6,Cávado,37,109018,0.00033939,8421876000.0,2858329.93
SSP2-4.5,2075,geoid_offset,0.6,Douro,0,240914,0.0,3054160000.0,0.0
SSP2-4.5,2075,geoid_offset,0.6,Grande Lisboa,2949,116836,0.02524051,75526356000.0,1906323597.56
SSP2-4.5,2075,geoid_offset,0.6,Lezíria do Tejo,1562,360615,0.00433149,4573917000.0,19811872.37
SSP2-4.5,2075,geoid_offset,0.6,Médio Tejo,0,229750,0.0,3853435000.0,0.0
SSP2-4.5,2075,geoid_offset,0.6,Oeste,149,187694,0.00079385,6490912000.0,5152779.99
SSP2-4.5,2075,geoid_offset,0.6,Península de Setúbal,946,136157,0.00694786,13176454000.0,91548179.56
SSP2-4.5,2075,geoid_offset,0.6,Região de Aveiro,3165,145936,0.02168759,8691000000.0,188486836.7
SSP2-4.5,2075,geoid_offset,0.6,Região de Coimbra,1372,371551,0.00369263,9133907000.0,33728129.93
SSP2-4.5,2075,geoid_offset,0.6,Região de Leiria,1,208682,4.79e-06,6490351000.0,31101.63
SSP2-4.5,2075,geoid_offset,0.6,Terras de Trás-os-Montes,0,5591,0.0,1790127000.0,0.0
SSP2-4.5,2075,geoid_offset,0.6,Tâmega e Sousa,0,159228,0.0,6047036000.0,0.0
SSP2-4.5,2075,geoid_offset,0.6,Viseu Dão Lafões,0,279442,0.0,4590096000.0,0.0
SSP2-4.5,2075,geoid_offset,0.6,Área Metropolitana do Porto,89,177181,0.00050231,39710799000.0,19947178.94
SSP2-4.5,2100,baseline,0.6,Alentejo Central,0,594710,0.0,2958516000.0,0.0
SSP2-4.5,2100,baseline,0.6,Alentejo Litoral,1476,441094,0.00334623,3133737000.0,10486190.73
SSP2-4.5,2100,baseline,0.6,Algarve,2239,411031,0.00544728,11984171000.0,65281107.43
SSP2-4.5,2100,baseline,0.6,Alto Alentejo,0,428045,0.0,1798575000.0,0.0
SSP2-4.5,2100,baseline,0.6,Alto Minho,156,194924,0.00080031,4151610000.0,3322582.96
SSP2-4.5,2100,baseline,0.6,Alto Tâmega e Barroso,0,233032,0.0,1241947000.0,0.0
SSP2-4.5,2100,baseline,0.6,Ave,0,126782,0.0,8045336000.0,0.0
SSP2-4.5,2100,baseline,0.6,Baixo Alentejo,0,650296,0.0,2588500000.0,0.0
SSP2-4.5,2100,baseline,0.6,Beira Baixa,0,276956,0.0,1869355000.0,0.0
SSP2-4.5,2100,baseline,0.6,Beiras e Serra da Estrela,0,264614,0.0,3339166000.0,0.0
SSP2-4.5,2100,baseline,0.6,Cávado,37,109018,0.00033939,8421876000.0,2858329.93
SSP2-4.5,2100,baseline,0.6,Douro,0,240914,0.0,3054160000.0,0.0
SSP2-4.5,2100,baseline,0.6,Grande Lisboa,2949,116836,0.02524051,75526356000.0,1906323597.56
SSP2-4.5,2100,baseline,0.6,Lezíria do Tejo,1562,360615,0.00433149,4573917000.0,19811872.37
SSP2-4.5,2100,baseline,0.6,Médio Tejo,0,229750,0.0,3853435000.0,0.0
SSP2-4.5,2100,baseline,0.6,Oeste,149,187694,0.00079385,6490912000.0,5152779.99
SSP2-4.5,2100,baseline,0.6,Península de Setúbal,946,136157,0.00694786,13176454000.0,91548179.56
SSP2-4.5,2100,baseline,0.6,Região de Aveiro,3165,145936,0.02168759,8691000000.0,188486836.7
SSP2-4.5,2100,baseline,0.6,Região de Coimbra,1372,371551,0.00369263,9133907000.0,33728129.93
SSP2-4.5,2100,baseline,0.6,Região de Leiria,1,208682,4.79e-06,6490351000.0,31101.63
SSP2-4.5,2100,baseline,0.6,Terras de Trás-os-Montes,0,5591,0.0,1790127000.0,0.0
SSP2-4.5,2100,baseline,0.6,Tâmega e Sousa,0,159228,0.0,6047036000.0,0.0
SSP2-4.5,2100,baseline,0.6,Viseu Dão Lafões,0,279442,0.0,4590096000.0,0.0
SSP2-4.5,2100,baseline,0.6,Área Metropolitana do Porto,89,177181,0.00050231,39710799000.0,19947178.94
SSP2-4.5,2100,geoid_offset,0.75,Alentejo Central,0,594710,0.0,2958516000.0,0.0
SSP2-4.5,2100,geoid_offset,0.75,Alentejo Litoral,1871,441094,0.00424173,3133737000.0,13292454.5
SSP2-4.5,2100,geoid_offset,0.75,Algarve,2894,411031,0.00704083,11984171000.0,84378528.32
SSP2-4.5,2100,geoid_offset,0.75,Alto Alentejo,0,428045,0.0,1798575000.0,0.0
SSP2-4.5,2100,geoid_offset,0.75,Alto Minho,229,194924,0.00117482,4151610000.0,4877381.39
SSP2-4.5,2100,geoid_offset,0.75,Alto Tâmega e Barroso,0,233032,0.0,1241947000.0,0.0
SSP2-4.5,2100,geoid_offset,0.75,Ave,0,126782,0.0,8045336000.0,0.0
SSP2-4.5,2100,geoid_offset,0.75,Baixo Alentejo,0,650296,0.0,2588500000.0,0.0
SSP2-4.5,2100,geoid_offset,0.75,Beira Baixa,0,276956,0.0,1869355000.0,0.0
