idx,lat,lon,elev_m,below_threshold,flood_zone,note
116,38.710519,-8.916979,35.502,False,"Alcochete / Samouco marshes (2010, 2026)",
117,38.710382,-8.91643,35.104,False,"Alcochete / Samouco marshes (2010, 2026)",
118,38.710245,-8.915881,34.476,False,"Alcochete / Samouco marshes (2010, 2026)",
119,38.710108,-8.915332,33.311,False,"Alcochete / Samouco marshes (2010, 2026)",
120,38.709971,-8.914783,31.497,False,"Alcochete / Samouco marshes (2010, 2026)",
121,38.709834,-8.914234,30.194,False,"Alcochete / Samouco marshes (2010, 2026)",
122,38.709697,-8.913685,28.218,False,"Alcochete / Samouco marshes (2010, 2026)",
123,38.70956,-8.913137,26.127,False,"Alcochete / Samouco marshes (2010, 2026)",
124,38.709422,-8.912588,24.707,False,"Alcochete / Samouco marshes (2010, 2026)",
125,38.709285,-8.912039,23.993,False,"Alcochete / Samouco marshes (2010, 2026)",
126,38.709148,-8.91149,23.481,False,"Alcochete / Samouco marshes (2010, 2026)",
127,38.709011,-8.910941,23.01,False,"Alcochete / Samouco marshes (2010, 2026)",
128,38.708874,-8.910392,22.533,False,"Alcochete / Samouco marshes (2010, 2026)",
129,38.708737,-8.909843,21.476,False,"Alcochete / Samouco marshes (2010, 2026)",
130,38.7086,-8.909294,19.629,False,"Alcochete / Samouco marshes (2010, 2026)",
131,38.708463,-8.908745,18.154,False,"Alcochete / Samouco marshes (2010, 2026)",
132,38.708326,-8.908197,16.272,False,"Alcochete / Samouco marshes (2010, 2026)",
133,38.708189,-8.907648,15.51,False,"Alcochete / Samouco marshes (2010, 2026)",
134,38.708052,-8.907099,17.038,False,"Alcochete / Samouco marshes (2010, 2026)",
135,38.707882,-8.906596,18.845,False,"Alcochete / Samouco marshes (2010, 2026)",
136,38.707445,-8.90646,19.775,False,"Alcochete / Samouco marshes (2010, 2026)",
137,38.707007,-8.906331,20.152,False,"Alcochete / Samouco marshes (2010, 2026)",
138,38.706568,-8.906202,19.978,False,"Alcochete / Samouco marshes (2010, 2026)",
139,38.70613,-8.906072,19.845,False,"Alcochete / Samouco marshes (2010, 2026)",
140,38.705692,-8.905943,20.159,False,"Alcochete / Samouco marshes (2010, 2026)",
141,38.705254,-8.905814,20.647,False,"Alcochete / Samouco marshes (2010, 2026)",
142,38.704815,-8.905685,21.064,False,"Alcochete / Samouco marshes (2010, 2026)",
143,38.704377,-8.905556,21.449,False,"Alcochete / Samouco marshes (2010, 2026)",
144,38.703939,-8.905425,20.807,False,"Alcochete / Samouco marshes (2010, 2026)",
145,38.703842,-8.905382,20.426,False,"Alcochete / Samouco marshes (2010, 2026)",
146,38.704283,-8.905495,21.334,False,"Alcochete / Samouco marshes (2010, 2026)",
147,38.704723,-8.905609,21.09,False,"Alcochete / Samouco marshes (2010, 2026)",
148,38.705164,-8.905722,20.56,False,"Alcochete / Samouco marshes (2010, 2026)",
149,38.705605,-8.905836,20.162,False,"Alcochete / Samouco marshes (2010, 2026)",
150,38.706046,-8.905949,19.704,False,"Alcochete / Samouco marshes (2010, 2026)",
151,38.706487,-8.906062,19.557,False,"Alcochete / Samouco marshes (2010, 2026)",
152,38.706928,-8.906176,19.835,False,"Alcochete / Samouco marshes (2010, 2026)",
153,38.707368,-8.906289,19.757,False,"Alcochete / Samouco marshes (2010, 2026)",
154,38.707807,-8.906414,19.119,False,"Alcochete / Samouco marshes (2010, 2026)",
155,38.708244,-8.906552,18.573,False,"Alcochete / Samouco marshes (2010, 2026)",
156,38.708679,-8.906697,18.378,False,"Alcochete / Samouco marshes (2010, 2026)",
157,38.709114,-8.906843,18.321,False,"Alcochete / Samouco marshes (2010, 2026)",
158,38.709544,-8.907009,18.166,False,"Alcochete / Samouco marshes (2010, 2026)",
159,38.70996,-8.907229,17.961,False,"Alcochete / Samouco marshes (2010, 2026)",
160,38.710375,-8.907448,17.385,False,"Alcochete / Samouco marshes (2010, 2026)",
161,38.710787,-8.90768,16.516,False,"Alcochete / Samouco marshes (2010, 2026)",
162,38.711186,-8.907944,16.698,False,"Alcochete / Samouco marshes (2010, 2026)",
163,38.711586,-8.908209,17.376,False,"Alcochete / Samouco marshes (2010, 2026)",
164,38.711974,-8.908496,17.633,False,"Alcochete / Samouco marshes (2010, 2026)",
