point_index,lat,lon,elevation_m,below_threshold
1146,40.683976,-8.599676,15.408,False
1147,40.683418,-8.600606,16.111,False
1148,40.682859,-8.601535,17.389,False
1149,40.682298,-8.602462,19.734,False
1150,40.681717,-8.603365,20.657,False
1151,40.681094,-8.604221,21.241,False
1152,40.680442,-8.605037,22.827,False
1153,40.679729,-8.60576,24.624,False
1154,40.678994,-8.606441,23.306,False
1155,40.678242,-8.607093,23.047,False
1156,40.677482,-8.607727,22.441,False
1157,40.676722,-8.60836,21.588,False
1158,40.675962,-8.608995,22.494,False
1159,40.675202,-8.609628,22.257,False
1160,40.67444,-8.610259,22.049,False
1161,40.673676,-8.610883,22.49,False
1162,40.672898,-8.611477,22.929,False
1163,40.672095,-8.61201,22.997,False
1164,40.671267,-8.612472,22.346,False
1165,40.670419,-8.612864,23.53,False
1166,40.669554,-8.613191,24.372,False
1167,40.668681,-8.613473,24.527,False
1168,40.667806,-8.613746,23.912,False
1169,40.666931,-8.614018,22.882,False
1170,40.666055,-8.614289,24.511,False
1171,40.665179,-8.614558,25.735,False
1172,40.664307,-8.614846,26.946,False
1173,40.663446,-8.615187,31.833,False
1174,40.662602,-8.615597,32.597,False
1175,40.661781,-8.61608,26.539,False
1176,40.660986,-8.616633,25.817,False
1177,40.660219,-8.617252,21.512,False
1178,40.659486,-8.617938,22.414,False
1179,40.65879,-8.618688,21.021,False
1180,40.658131,-8.619494,22.163,False
1181,40.657516,-8.620358,21.509,False
1182,40.656949,-8.621278,21.23,False
1183,40.656415,-8.622232,22.447,False
1184,40.655897,-8.623201,24.143,False
1185,40.65538,-8.62417,23.208,False
1186,40.654867,-8.625144,23.457,False
1187,40.654354,-8.626118,23.859,False
1188,40.65384,-8.62709,23.096,False
1189,40.653326,-8.628063,16.365,False
1190,40.653657,-8.627961,17.942,False
1191,40.654412,-8.627317,22.905,False
1192,40.655168,-8.626674,22.927,False
1193,40.655923,-8.626031,23.05,False
1194,40.656678,-8.625388,23.924,False
1195,40.657434,-8.624744,24.842,False
1196,40.658189,-8.624101,24.292,False
1197,40.658945,-8.623458,22.595,False
1198,40.6597,-8.622815,22.142,False
1199,40.660456,-8.622171,22.905,False
1200,40.661211,-8.621528,25.53,False
1201,40.661967,-8.620885,27.192,False
1202,40.662722,-8.620242,19.87,False
1203,40.663478,-8.619598,19.76,False
1204,40.664233,-8.618955,24.177,False
1205,40.664988,-8.618312,30.752,False
1206,40.665744,-8.617669,30.117,False
1207,40.666499,-8.617025,22.391,False
1208,40.667255,-8.616382,22.854,False
1209,40.66801,-8.615739,25.046,False
