lat,lon,elev_m,flood_zone
39.000792,-8.967422,4.383,"Carregado / Azambuja (events: 2022, 2026)"
39.009682,-8.96673,4.383,"Carregado / Azambuja (events: 2022, 2026)"
39.01285,-8.965224,4.385,"Carregado / Azambuja (events: 2022, 2026)"
39.006225,-8.969249,4.388,"Carregado / Azambuja (events: 2022, 2026)"
39.039372,-8.950607,4.39,"Carregado / Azambuja (events: 2022, 2026)"
39.039977,-8.950696,4.391,"Carregado / Azambuja (events: 2022, 2026)"
39.023439,-8.958209,4.395,"Carregado / Azambuja (events: 2022, 2026)"
39.006386,-8.967626,4.397,"Carregado / Azambuja (events: 2022, 2026)"
39.005651,-8.96681,4.398,"Carregado / Azambuja (events: 2022, 2026)"
39.002136,-8.96728,4.401,"Carregado / Azambuja (events: 2022, 2026)"
39.00563,-8.966301,4.404,"Carregado / Azambuja (events: 2022, 2026)"
39.009725,-8.966715,4.406,"Carregado / Azambuja (events: 2022, 2026)"
39.006177,-8.967732,4.414,"Carregado / Azambuja (events: 2022, 2026)"
39.038523,-8.950991,4.42,"Carregado / Azambuja (events: 2022, 2026)"
39.038311,-8.951087,4.423,"Carregado / Azambuja (events: 2022, 2026)"
39.005636,-8.966823,4.424,"Carregado / Azambuja (events: 2022, 2026)"
39.005567,-8.966687,4.427,"Carregado / Azambuja (events: 2022, 2026)"
39.009704,-8.968071,4.43,"Carregado / Azambuja (events: 2022, 2026)"
39.009577,-8.966682,4.431,"Carregado / Azambuja (events: 2022, 2026)"
39.0095,-8.966733,4.433,"Carregado / Azambuja (events: 2022, 2026)"
39.013193,-8.96614,4.434,"Carregado / Azambuja (events: 2022, 2026)"
39.040189,-8.950599,4.44,"Carregado / Azambuja (events: 2022, 2026)"
39.013337,-8.966345,4.443,"Carregado / Azambuja (events: 2022, 2026)"
39.009458,-8.966747,4.444,"Carregado / Azambuja (events: 2022, 2026)"
39.023036,-8.957988,4.449,"Carregado / Azambuja (events: 2022, 2026)"
39.044032,-8.948512,4.459,"Carregado / Azambuja (events: 2022, 2026)"
39.009776,-8.966643,4.465,"Carregado / Azambuja (events: 2022, 2026)"
39.000458,-8.967245,4.466,"Carregado / Azambuja (events: 2022, 2026)"
39.00161,-8.967669,4.467,"Carregado / Azambuja (events: 2022, 2026)"
39.03964,-8.950742,4.47,"Carregado / Azambuja (events: 2022, 2026)"
39.024075,-8.95792,4.474,"Carregado / Azambuja (events: 2022, 2026)"
39.000749,-8.96744,4.474,"Carregado / Azambuja (events: 2022, 2026)"
39.009551,-8.966637,4.477,"Carregado / Azambuja (events: 2022, 2026)"
39.000728,-8.967439,4.484,"Carregado / Azambuja (events: 2022, 2026)"
39.009797,-8.966622,4.484,"Carregado / Azambuja (events: 2022, 2026)"
39.012202,-8.963315,4.492,"Carregado / Azambuja (events: 2022, 2026)"
39.040613,-8.950407,4.493,"Carregado / Azambuja (events: 2022, 2026)"
39.005521,-8.966707,4.496,"Carregado / Azambuja (events: 2022, 2026)"
39.040401,-8.950503,4.501,"Carregado / Azambuja (events: 2022, 2026)"
39.002186,-8.967329,4.503,"Carregado / Azambuja (events: 2022, 2026)"
39.006611,-8.966995,4.505,"Carregado / Azambuja (events: 2022, 2026)"
39.044039,-8.948498,4.51,"Carregado / Azambuja (events: 2022, 2026)"
39.024711,-8.957631,4.513,"Carregado / Azambuja (events: 2022, 2026)"
39.005859,-8.967281,4.519,"Carregado / Azambuja (events: 2022, 2026)"
39.013133,-8.966356,4.521,"Carregado / Azambuja (events: 2022, 2026)"
39.013321,-8.966213,4.522,"Carregado / Azambuja (events: 2022, 2026)"
39.024287,-8.957824,4.526,"Carregado / Azambuja (events: 2022, 2026)"
39.024499,-8.957728,4.526,"Carregado / Azambuja (events: 2022, 2026)"
39.039765,-8.950792,4.527,"Carregado / Azambuja (events: 2022, 2026)"
39.009907,-8.966713,4.532,"Carregado / Azambuja (events: 2022, 2026)"
39.009675,-8.96652,4.532,"Carregado / Azambuja (events: 2022, 2026)"
39.013351,-8.966288,4.537,"Carregado / Azambuja (events: 2022, 2026)"
39.024734,-8.957221,4.541,"Carregado / Azambuja (events: 2022, 2026)"
39.009357,-8.966743,4.543,"Carregado / Azambuja (events: 2022, 2026)"
39.011368,-8.96326,4.545,"Carregado / Azambuja (events: 2022, 2026)"
39.013079,-8.964228,4.55,"Carregado / Azambuja (events: 2022, 2026)"
38.983586,-8.972893,4.556,"Carregado / Azambuja (events: 2022, 2026)"
39.013072,-8.965179,4.56,"Carregado / Azambuja (events: 2022, 2026)"
39.005686,-8.967041,4.56,"Carregado / Azambuja (events: 2022, 2026)"
39.010718,-8.963989,4.561,"Carregado / Azambuja (events: 2022, 2026)"
39.013496,-8.966415,4.567,"Carregado / Azambuja (events: 2022, 2026)"
39.005603,-8.966943,4.567,"Carregado / Azambuja (events: 2022, 2026)"
39.007125,-8.965177,4.569,"Carregado / Azambuja (events: 2022, 2026)"
39.005934,-8.967494,4.574,"Carregado / Azambuja (events: 2022, 2026)"
39.009742,-8.966516,4.574,"Carregado / Azambuja (events: 2022, 2026)"
39.00969,-8.96649,4.574,"Carregado / Azambuja (events: 2022, 2026)"
39.009518,-8.966527,4.576,"Carregado / Azambuja (events: 2022, 2026)"
