section,section_type,scenario,year,variant,slr_m,return_period_yr,events_per_year,days_per_event,closure_days_yr
Mondego Valley (km 240–244),railway,SSP1-2.6,2072,+Geoid,0.438,0.19,5.205,9.4,48.8
Mondego Valley (km 240–244),railway,SSP1-2.6,2073,Baseline,0.292,0.53,1.892,7.9,15.0
Mondego Valley (km 240–244),railway,SSP1-2.6,2073,+Geoid,0.442,0.19,5.352,9.4,50.4
Mondego Valley (km 240–244),railway,SSP1-2.6,2074,Baseline,0.296,0.51,1.945,8.0,15.5
Mondego Valley (km 240–244),railway,SSP1-2.6,2074,+Geoid,0.446,0.18,5.502,9.5,52.1
Mondego Valley (km 240–244),railway,SSP1-2.6,2075,Baseline,0.3,0.5,2.0,8.0,16.0
Mondego Valley (km 240–244),railway,SSP1-2.6,2075,+Geoid,0.45,0.18,5.657,9.5,53.7
Mondego Valley (km 240–244),railway,SSP1-2.6,2076,Baseline,0.304,0.49,2.056,8.0,16.5
Mondego Valley (km 240–244),railway,SSP1-2.6,2076,+Geoid,0.454,0.17,5.816,9.5,55.5
Mondego Valley (km 240–244),railway,SSP1-2.6,2077,Baseline,0.308,0.47,2.114,8.1,17.1
Mondego Valley (km 240–244),railway,SSP1-2.6,2077,+Geoid,0.458,0.17,5.979,9.6,57.3
Mondego Valley (km 240–244),railway,SSP1-2.6,2078,Baseline,0.312,0.46,2.173,8.1,17.6
Mondego Valley (km 240–244),railway,SSP1-2.6,2078,+Geoid,0.462,0.16,6.148,9.6,59.1
Mondego Valley (km 240–244),railway,SSP1-2.6,2079,Baseline,0.316,0.45,2.235,8.2,18.2
Mondego Valley (km 240–244),railway,SSP1-2.6,2079,+Geoid,0.466,0.16,6.32,9.7,61.1
Mondego Valley (km 240–244),railway,SSP1-2.6,2080,Baseline,0.32,0.44,2.297,8.2,18.8
Mondego Valley (km 240–244),railway,SSP1-2.6,2080,+Geoid,0.47,0.15,6.498,9.7,63.0
Mondego Valley (km 240–244),railway,SSP1-2.6,2081,Baseline,0.324,0.42,2.362,8.2,19.5
Mondego Valley (km 240–244),railway,SSP1-2.6,2081,+Geoid,0.474,0.15,6.681,9.7,65.1
Mondego Valley (km 240–244),railway,SSP1-2.6,2082,Baseline,0.328,0.41,2.428,8.3,20.1
Mondego Valley (km 240–244),railway,SSP1-2.6,2082,+Geoid,0.478,0.15,6.869,9.8,67.2
Mondego Valley (km 240–244),railway,SSP1-2.6,2083,Baseline,0.332,0.4,2.497,8.3,20.8
Mondego Valley (km 240–244),railway,SSP1-2.6,2083,+Geoid,0.482,0.14,7.062,9.8,69.3
Mondego Valley (km 240–244),railway,SSP1-2.6,2084,Baseline,0.336,0.39,2.567,8.4,21.5
Mondego Valley (km 240–244),railway,SSP1-2.6,2084,+Geoid,0.486,0.14,7.26,9.9,71.6
Mondego Valley (km 240–244),railway,SSP1-2.6,2085,Baseline,0.34,0.38,2.639,8.4,22.2
Mondego Valley (km 240–244),railway,SSP1-2.6,2085,+Geoid,0.49,0.13,7.464,9.9,73.9
Mondego Valley (km 240–244),railway,SSP1-2.6,2086,Baseline,0.344,0.37,2.713,8.4,22.9
Mondego Valley (km 240–244),railway,SSP1-2.6,2086,+Geoid,0.494,0.13,7.674,9.9,76.3
Mondego Valley (km 240–244),railway,SSP1-2.6,2087,Baseline,0.348,0.36,2.789,8.5,23.7
Mondego Valley (km 240–244),railway,SSP1-2.6,2087,+Geoid,0.498,0.13,7.89,10.0,78.7
Mondego Valley (km 240–244),railway,SSP1-2.6,2088,Baseline,0.352,0.35,2.868,8.5,24.4
Mondego Valley (km 240–244),railway,SSP1-2.6,2088,+Geoid,0.502,0.12,8.112,10.0,81.3
Mondego Valley (km 240–244),railway,SSP1-2.6,2089,Baseline,0.356,0.34,2.949,8.6,25.2
Mondego Valley (km 240–244),railway,SSP1-2.6,2089,+Geoid,0.506,0.12,8.34,10.1,83.9
Mondego Valley (km 240–244),railway,SSP1-2.6,2090,Baseline,0.36,0.33,3.031,8.6,26.1
Mondego Valley (km 240–244),railway,SSP1-2.6,2090,+Geoid,0.51,0.12,8.574,10.1,86.6
Mondego Valley (km 240–244),railway,SSP1-2.6,2091,Baseline,0.364,0.32,3.117,8.6,26.9
Mondego Valley (km 240–244),railway,SSP1-2.6,2091,+Geoid,0.514,0.11,8.815,10.1,89.4
Mondego Valley (km 240–244),railway,SSP1-2.6,2092,Baseline,0.368,0.31,3.204,8.7,27.8
Mondego Valley (km 240–244),railway,SSP1-2.6,2092,+Geoid,0.518,0.11,9.063,10.2,92.3
Mondego Valley (km 240–244),railway,SSP1-2.6,2093,Baseline,0.372,0.3,3.294,8.7,28.7
Mondego Valley (km 240–244),railway,SSP1-2.6,2093,+Geoid,0.522,0.11,9.318,10.2,95.2
Mondego Valley (km 240–244),railway,SSP1-2.6,2094,Baseline,0.376,0.3,3.387,8.8,29.7
Mondego Valley (km 240–244),railway,SSP1-2.6,2094,+Geoid,0.526,0.1,9.58,10.3,98.3
