point_index,lat,lon,elevation_m,below_threshold
341,40.770566,-8.576039,21.581,False
342,40.76967,-8.575944,20.491,False
343,40.768773,-8.57585,25.354,False
344,40.767877,-8.575755,32.7,False
345,40.76698,-8.57566,33.071,False
346,40.766084,-8.575565,32.255,False
347,40.765188,-8.57547,29.694,False
348,40.764291,-8.575375,23.397,False
349,40.763395,-8.57528,19.934,False
350,40.762498,-8.575185,21.13,False
351,40.761602,-8.575091,22.838,False
352,40.760705,-8.574996,23.797,False
353,40.759809,-8.574901,21.028,False
354,40.758912,-8.574806,17.241,False
355,40.758016,-8.574711,15.614,False
356,40.75712,-8.574616,15.589,False
357,40.756223,-8.574521,15.441,False
358,40.755327,-8.574426,14.066,False
359,40.75443,-8.574332,12.828,False
360,40.753534,-8.574237,12.515,False
361,40.752637,-8.574142,14.244,False
362,40.751741,-8.574047,15.928,False
363,40.750844,-8.573952,16.759,False
364,40.749948,-8.573857,12.055,False
365,40.749052,-8.573762,9.387,False
366,40.748155,-8.573667,5.722,False
367,40.747259,-8.573573,3.585,False
368,40.746372,-8.573414,3.305,False
369,40.746899,-8.57343,3.459,False
370,40.747794,-8.573548,4.766,False
371,40.748689,-8.573665,7.982,False
372,40.749584,-8.573783,10.802,False
373,40.750478,-8.5739,15.041,False
374,40.751373,-8.574018,16.288,False
375,40.752268,-8.574135,15.178,False
376,40.753163,-8.574252,12.494,False
377,40.754058,-8.57437,12.125,False
378,40.754953,-8.574487,12.927,False
379,40.755848,-8.574605,14.152,False
380,40.756743,-8.574722,15.54,False
381,40.757638,-8.57484,15.062,False
382,40.758533,-8.574957,15.846,False
383,40.759428,-8.575074,18.375,False
384,40.760323,-8.575192,21.908,False
385,40.761217,-8.575309,21.894,False
386,40.762112,-8.575427,20.345,False
387,40.763007,-8.575544,19.753,False
388,40.763902,-8.575662,20.421,False
389,40.764797,-8.575779,26.588,False
390,40.765692,-8.575896,33.084,False
391,40.766587,-8.576014,31.286,False
392,40.767482,-8.576131,32.921,False
393,40.768377,-8.576249,27.636,False
394,40.769272,-8.576366,21.725,False
395,40.770167,-8.576484,19.366,False
396,40.771061,-8.576601,22.351,False
397,40.771956,-8.576718,22.792,False
398,40.772851,-8.576836,23.02,False
399,40.773746,-8.576953,22.366,False
400,40.774641,-8.577071,22.29,False
401,40.775536,-8.577188,22.898,False
402,40.776431,-8.577306,23.257,False
403,40.777326,-8.577423,22.834,False
404,40.778221,-8.57754,21.357,False
405,40.779115,-8.577667,21.475,False
406,40.778724,-8.577652,21.208,False
407,40.777829,-8.577534,21.874,False
408,40.776934,-8.577415,23.109,False
409,40.77604,-8.577296,22.893,False
410,40.775145,-8.577178,22.533,False
411,40.77425,-8.577059,22.137,False
412,40.773355,-8.57694,22.801,False
413,40.77246,-8.576822,22.784,False
414,40.771566,-8.576703,22.721,False
415,40.770671,-8.576584,20.942,False
416,40.769776,-8.576466,19.378,False
417,40.768881,-8.576347,23.978,False
418,40.767986,-8.576228,30.518,False
419,40.767091,-8.57611,32.872,False
420,40.766197,-8.575991,32.155,False
421,40.765302,-8.575872,29.064,False
422,40.764407,-8.575754,24.55,False
423,40.763512,-8.575635,19.418,False
424,40.762617,-8.575516,20.09,False
425,40.761723,-8.575397,20.723,False
426,40.760828,-8.575279,22.197,False
427,40.759933,-8.57516,20.518,False
428,40.759038,-8.575041,16.859,False
429,40.758143,-8.574923,15.269,False
430,40.757248,-8.574804,15.153,False
431,40.756354,-8.574685,15.056,False
432,40.755459,-8.574567,13.525,False
433,40.754564,-8.574448,12.373,False
434,40.753669,-8.574329,12.14,False
435,40.752774,-8.574211,13.318,False
436,40.75188,-8.574092,15.568,False
437,40.750985,-8.573973,17.103,False
438,40.75009,-8.573855,12.742,False
439,40.749195,-8.573736,9.93,False
440,40.7483,-8.573617,6.243,False
441,40.747405,-8.573499,3.869,False
442,40.746511,-8.57338,3.238,False
443,40.745641,-8.573103,3.989,False
444,40.744785,-8.57274,4.531,False
445,40.743929,-8.572376,5.059,False
446,40.743073,-8.572012,5.859,False
447,40.742219,-8.57164,6.322,False
448,40.741373,-8.571237,6.032,False
449,40.740544,-8.570776,7.454,False
450,40.739733,-8.570263,7.374,False
451,40.738923,-8.569748,6.988,False
452,40.738113,-8.569233,5.619,False
453,40.737303,-8.568717,4.78,False
454,40.736493,-8.568201,4.248,False
455,40.735683,-8.567685,4.115,False
456,40.734873,-8.567169,4.777,False
457,40.734056,-8.566674,5.793,False
458,40.733218,-8.566244,6.949,False
459,40.732361,-8.565885,5.974,False
460,40.731491,-8.565585,6.653,False
461,40.730612,-8.565335,7.293,False
462,40.729733,-8.565087,6.149,False
463,40.728866,-8.564845,6.791,False
464,40.729748,-8.565075,6.22,False
465,40.730631,-8.565306,7.465,False
466,40.731513,-8.565536,6.974,False
467,40.732395,-8.565767,6.58,False
468,40.733277,-8.565998,8.374,False
469,40.734159,-8.566228,8.904,False
470,40.735041,-8.566459,8.785,False
471,40.735924,-8.56669,10.847,False
472,40.736806,-8.56692,11.584,False
473,40.737688,-8.567151,13.518,False
474,40.73857,-8.567382,18.649,False
475,40.739452,-8.567612,20.963,False
476,40.740335,-8.567843,22.247,False
477,40.741217,-8.568073,22.183,False
478,40.742099,-8.568304,20.035,False
479,40.742981,-8.568535,20.153,False
480,40.743863,-8.568765,20.232,False
481,40.744746,-8.568996,13.399,False
482,40.745628,-8.569227,9.532,False
483,40.74651,-8.569457,7.657,False
484,40.747392,-8.569688,6.019,False
485,40.748274,-8.569918,8.924,False
486,40.749156,-8.570149,6.211,False
487,40.750039,-8.57038,16.255,False
488,40.750921,-8.57061,21.641,False
489,40.751803,-8.570841,22.695,False
490,40.752685,-8.571072,24.481,False
491,40.753567,-8.571302,23.135,False
492,40.75445,-8.571533,21.281,False
493,40.755332,-8.571764,21.687,False
494,40.756214,-8.571994,22.262,False
495,40.757096,-8.572225,21.462,False
496,40.757978,-8.572455,20.076,False
497,40.758861,-8.572686,19.621,False
498,40.759743,-8.572917,19.177,False
499,40.760625,-8.573147,21.686,False
500,40.761507,-8.573378,23.222,False
501,40.762389,-8.573609,24.119,False
502,40.763271,-8.573839,21.228,False
503,40.764154,-8.57407,20.958,False
504,40.765036,-8.574301,25.85,False
505,40.765918,-8.574531,31.462,False
506,40.7668,-8.574762,29.73,False
507,40.767682,-8.574992,32.701,False
508,40.768565,-8.575223,29.479,False
509,40.769447,-8.575454,21.621,False
510,40.770329,-8.575684,21.714,False
511,40.771211,-8.575915,22.922,False
512,40.772093,-8.576146,23.338,False
513,40.772982,-8.576313,23.779,False
514,40.773879,-8.576394,22.77,False
515,40.774752,-8.576647,22.819,False
516,40.775619,-8.57692,23.435,False
517,40.776516,-8.577005,24.285,False
518,40.777413,-8.57709,23.273,False
519,40.778274,-8.577401,21.509,False
520,40.779147,-8.577659,21.538,False
521,40.780044,-8.577745,23.05,False
522,40.780921,-8.577979,22.8,False
523,40.781789,-8.578293,22.122,False
524,40.782656,-8.578606,22.21,False
525,40.781861,-8.578247,22.14,False
526,40.781153,-8.577529,23.034,False
527,40.780522,-8.576682,25.496,False
528,40.779846,-8.575902,26.592,False
529,40.779431,-8.574867,27.547,False
530,40.779162,-8.573738,27.359,False
531,40.77854,-8.572902,29.828,False
532,40.777679,-8.572613,27.609,False
533,40.776781,-8.572532,27.778,False
534,40.775885,-8.572595,29.167,False
535,40.774989,-8.572698,28.483,False
536,40.774093,-8.572802,27.929,False
537,40.773198,-8.572905,26.569,False
538,40.772302,-8.573009,24.662,False
539,40.771406,-8.573112,23.187,False
540,40.77051,-8.573216,22.616,False
541,40.769614,-8.573319,22.347,False
542,40.768718,-8.573423,25.077,False
543,40.767822,-8.573526,27.183,False
544,40.766926,-8.57363,27.908,False
545,40.76603,-8.573734,28.35,False
546,40.765134,-8.573837,24.238,False
547,40.764239,-8.573941,21.116,False
548,40.763343,-8.574044,21.092,False
549,40.762447,-8.574148,23.485,False
550,40.761551,-8.574251,25.066,False
551,40.760655,-8.574355,24.35,False
552,40.759759,-8.574458,21.563,False
553,40.758863,-8.574562,17.766,False
554,40.757967,-8.574665,15.661,False
555,40.757071,-8.574769,15.301,False
556,40.756176,-8.574873,13.858,False
557,40.75528,-8.574976,11.203,False
558,40.754384,-8.57508,9.636,False
559,40.753488,-8.575183,9.264,False
560,40.752592,-8.575287,9.31,False
561,40.751696,-8.57539,7.588,False
562,40.750815,-8.575313,5.94,False
563,40.749958,-8.574953,6.779,False
564,40.749103,-8.574586,7.046,False
565,40.748248,-8.574219,5.283,False
566,40.747392,-8.573851,3.505,False
567,40.746611,-8.573516,3.224,False
568,40.747465,-8.57389,3.604,False
569,40.748318,-8.574263,5.47,False
570,40.749172,-8.574637,7.055,False
571,40.750026,-8.57501,6.578,False
572,40.750879,-8.575384,5.658,False
573,40.751742,-8.575719,6.459,False
574,40.752618,-8.575988,6.901,False
575,40.753501,-8.576207,6.668,False
576,40.754393,-8.576364,6.704,False
577,40.755288,-8.576472,8.577,False
578,40.756185,-8.576558,10.913,False
579,40.757082,-8.576645,11.862,False
580,40.757979,-8.57673,11.993,False
581,40.758876,-8.576814,12.638,False
582,40.759773,-8.576896,13.503,False
583,40.76067,-8.576979,14.099,False
584,40.761568,-8.577062,15.621,False
585,40.762465,-8.577144,16.668,False
586,40.763362,-8.577233,16.259,False
587,40.764258,-8.577321,16.146,False
588,40.765155,-8.577406,16.443,False
589,40.766052,-8.577491,18.475,False
590,40.766949,-8.577576,20.344,False
591,40.767847,-8.577656,20.38,False
592,40.768744,-8.577734,20.578,False
593,40.769641,-8.577813,17.74,False
594,40.770538,-8.577899,17.731,False
595,40.771435,-8.577987,18.401,False
596,40.772332,-8.578075,21.58,False
597,40.773229,-8.578163,22.814,False
598,40.774126,-8.578251,22.023,False
599,40.775023,-8.578336,20.513,False
600,40.77592,-8.57842,19.812,False
601,40.776817,-8.578505,20.108,False
602,40.777714,-8.57859,21.533,False
603,40.778611,-8.578675,21.402,False
604,40.779508,-8.57876,21.75,False
605,40.780405,-8.578845,22.204,False
606,40.781302,-8.57893,22.119,False
607,40.782199,-8.579015,22.163,False
608,40.783096,-8.579099,23.131,False
609,40.783993,-8.579182,24.283,False
610,40.78489,-8.579268,24.201,False
611,40.785787,-8.579354,26.165,False
612,40.786684,-8.57944,28.811,False
613,40.787581,-8.579524,29.839,False
614,40.788478,-8.579606,30.457,False
615,40.789375,-8.57969,29.052,False
616,40.790272,-8.579775,28.198,False
617,40.791169,-8.579859,28.457,False
618,40.792067,-8.579943,25.262,False
619,40.792964,-8.580028,20.308,False
620,40.793861,-8.580112,23.01,False
621,40.794758,-8.580196,28.527,False
622,40.795655,-8.580282,27.52,False
623,40.796552,-8.580368,26.103,False
624,40.796522,-8.580357,26.344,False
625,40.795626,-8.580253,27.537,False
626,40.794731,-8.58015,28.429,False
627,40.793835,-8.580046,22.829,False
628,40.792939,-8.579943,20.214,False
629,40.792043,-8.57984,24.537,False
630,40.791147,-8.579736,27.532,False
631,40.790251,-8.579633,27.522,False
632,40.789355,-8.57953,29.059,False
633,40.788459,-8.579426,30.342,False
634,40.787563,-8.579323,28.986,False
635,40.786667,-8.57922,27.98,False
636,40.785771,-8.579116,25.588,False
637,40.784876,-8.579013,24.171,False
638,40.78398,-8.57891,24.141,False
639,40.783084,-8.578806,22.721,False
640,40.782188,-8.578703,22.052,False
641,40.781292,-8.5786,22.184,False
642,40.780396,-8.578496,22.443,False
643,40.7795,-8.578393,21.459,False
644,40.778604,-8.57829,20.85,False
645,40.777706,-8.578266,21.653,False
646,40.776859,-8.577869,21.692,False
647,40.776014,-8.577465,22.329,False
648,40.775168,-8.57706,22.756,False
649,40.774323,-8.576655,22.421,False
650,40.77346,-8.576399,23.445,False
651,40.772618,-8.576389,23.434,False
652,40.773478,-8.576735,22.986,False
653,40.774339,-8.577081,22.152,False
654,40.775199,-8.577426,22.081,False
655,40.776059,-8.577772,21.292,False
656,40.77692,-8.578117,21.125,False
657,40.777815,-8.578156,21.58,False
658,40.778712,-8.578241,20.761,False
659,40.779609,-8.578326,21.649,False
660,40.780506,-8.578411,22.566,False
