idx,lat,lon,elev_m,below_threshold,flood_zone
130,38.973291,-8.979256,9.839,False,Vila Franca de Xira approach (events: 2026)
131,38.973473,-8.979087,10.418,False,Vila Franca de Xira approach (events: 2026)
132,38.973656,-8.978918,10.866,False,Vila Franca de Xira approach (events: 2026)
133,38.973838,-8.978748,11.069,False,Vila Franca de Xira approach (events: 2026)
134,38.974021,-8.978579,11.055,False,Vila Franca de Xira approach (events: 2026)
135,38.974203,-8.97841,10.849,False,Vila Franca de Xira approach (events: 2026)
136,38.974385,-8.978241,10.613,False,Vila Franca de Xira approach (events: 2026)
137,38.974568,-8.978072,10.438,False,Vila Franca de Xira approach (events: 2026)
138,38.97475,-8.977903,10.313,False,Vila Franca de Xira approach (events: 2026)
139,38.974933,-8.977734,10.265,False,Vila Franca de Xira approach (events: 2026)
140,38.975115,-8.977565,10.449,False,"Carregado / Azambuja (events: 2022, 2026)"
141,38.975311,-8.977425,10.858,False,"Carregado / Azambuja (events: 2022, 2026)"
142,38.975513,-8.977299,11.287,False,"Carregado / Azambuja (events: 2022, 2026)"
143,38.975715,-8.977172,11.526,False,"Carregado / Azambuja (events: 2022, 2026)"
144,38.975918,-8.977046,11.384,False,"Carregado / Azambuja (events: 2022, 2026)"
145,38.97612,-8.97692,10.987,False,"Carregado / Azambuja (events: 2022, 2026)"
146,38.976322,-8.976793,10.562,False,"Carregado / Azambuja (events: 2022, 2026)"
147,38.976525,-8.976667,10.315,False,"Carregado / Azambuja (events: 2022, 2026)"
148,38.976727,-8.976541,10.227,False,"Carregado / Azambuja (events: 2022, 2026)"
149,38.976929,-8.976415,10.496,False,"Carregado / Azambuja (events: 2022, 2026)"
150,38.977131,-8.976288,10.721,False,"Carregado / Azambuja (events: 2022, 2026)"
151,38.977334,-8.976162,10.751,False,"Carregado / Azambuja (events: 2022, 2026)"
152,38.977536,-8.976037,10.51,False,"Carregado / Azambuja (events: 2022, 2026)"
153,38.977741,-8.975918,10.222,False,"Carregado / Azambuja (events: 2022, 2026)"
154,38.977946,-8.9758,10.043,False,"Carregado / Azambuja (events: 2022, 2026)"
155,38.978151,-8.975681,9.916,False,"Carregado / Azambuja (events: 2022, 2026)"
156,38.978356,-8.975562,9.804,False,"Carregado / Azambuja (events: 2022, 2026)"
157,38.978561,-8.975444,9.762,False,"Carregado / Azambuja (events: 2022, 2026)"
158,38.978767,-8.975325,9.832,False,"Carregado / Azambuja (events: 2022, 2026)"
159,38.978972,-8.975207,9.895,False,"Carregado / Azambuja (events: 2022, 2026)"
160,38.979177,-8.975088,9.818,False,"Carregado / Azambuja (events: 2022, 2026)"
161,38.979382,-8.974969,9.587,False,"Carregado / Azambuja (events: 2022, 2026)"
162,38.979587,-8.974851,9.201,False,"Carregado / Azambuja (events: 2022, 2026)"
163,38.979792,-8.974732,8.697,False,"Carregado / Azambuja (events: 2022, 2026)"
164,38.979998,-8.974617,8.057,False,"Carregado / Azambuja (events: 2022, 2026)"
165,38.980205,-8.974505,7.506,False,"Carregado / Azambuja (events: 2022, 2026)"
166,38.980413,-8.974393,7.116,False,"Carregado / Azambuja (events: 2022, 2026)"
167,38.98062,-8.97428,6.853,False,"Carregado / Azambuja (events: 2022, 2026)"
168,38.980827,-8.974168,6.617,False,"Carregado / Azambuja (events: 2022, 2026)"
169,38.981034,-8.974056,6.221,False,"Carregado / Azambuja (events: 2022, 2026)"
170,38.981241,-8.973944,5.748,False,"Carregado / Azambuja (events: 2022, 2026)"
171,38.981449,-8.973832,5.345,False,"Carregado / Azambuja (events: 2022, 2026)"
172,38.981656,-8.973719,5.243,False,"Carregado / Azambuja (events: 2022, 2026)"
173,38.981863,-8.973607,5.602,False,"Carregado / Azambuja (events: 2022, 2026)"
174,38.98207,-8.973495,6.296,False,"Carregado / Azambuja (events: 2022, 2026)"
175,38.982277,-8.973383,6.998,False,"Carregado / Azambuja (events: 2022, 2026)"
176,38.982485,-8.973271,7.329,False,"Carregado / Azambuja (events: 2022, 2026)"
177,38.982692,-8.973158,7.214,False,"Carregado / Azambuja (events: 2022, 2026)"
178,38.982899,-8.973046,6.607,False,"Carregado / Azambuja (events: 2022, 2026)"
179,38.983107,-8.972935,5.963,False,"Carregado / Azambuja (events: 2022, 2026)"
180,38.983318,-8.972836,5.315,False,"Carregado / Azambuja (events: 2022, 2026)"
181,38.983529,-8.972736,4.617,True,"Carregado / Azambuja (events: 2022, 2026)"
182,38.98374,-8.972636,3.958,True,"Carregado / Azambuja (events: 2022, 2026)"
183,38.983951,-8.972537,3.793,True,"Carregado / Azambuja (events: 2022, 2026)"
184,38.984162,-8.972437,4.168,True,"Carregado / Azambuja (events: 2022, 2026)"
185,38.984373,-8.972337,5.03,False,"Carregado / Azambuja (events: 2022, 2026)"
186,38.984584,-8.972238,5.532,False,"Carregado / Azambuja (events: 2022, 2026)"
187,38.984795,-8.972138,5.782,False,"Carregado / Azambuja (events: 2022, 2026)"
188,38.985006,-8.972038,5.708,False,"Carregado / Azambuja (events: 2022, 2026)"
189,38.985217,-8.971939,5.21,False,"Carregado / Azambuja (events: 2022, 2026)"
190,38.985428,-8.971839,4.699,True,"Carregado / Azambuja (events: 2022, 2026)"
191,38.98564,-8.971739,4.908,True,"Carregado / Azambuja (events: 2022, 2026)"
192,38.985851,-8.97164,6.373,False,"Carregado / Azambuja (events: 2022, 2026)"
193,38.986062,-8.97154,8.809,False,"Carregado / Azambuja (events: 2022, 2026)"
194,38.986273,-8.97144,10.915,False,"Carregado / Azambuja (events: 2022, 2026)"
195,38.986484,-8.971341,11.494,False,"Carregado / Azambuja (events: 2022, 2026)"
196,38.986695,-8.971241,10.919,False,"Carregado / Azambuja (events: 2022, 2026)"
197,38.986906,-8.971141,10.507,False,"Carregado / Azambuja (events: 2022, 2026)"
198,38.987117,-8.971042,10.172,False,"Carregado / Azambuja (events: 2022, 2026)"
199,38.987328,-8.970942,9.567,False,"Carregado / Azambuja (events: 2022, 2026)"
200,38.987539,-8.970842,8.668,False,"Carregado / Azambuja (events: 2022, 2026)"
201,38.98775,-8.970743,7.935,False,"Carregado / Azambuja (events: 2022, 2026)"
202,38.987961,-8.970643,7.523,False,"Carregado / Azambuja (events: 2022, 2026)"
203,38.988172,-8.970543,7.493,False,"Carregado / Azambuja (events: 2022, 2026)"
204,38.988385,-8.97045,7.703,False,"Carregado / Azambuja (events: 2022, 2026)"
205,38.988599,-8.970361,8.044,False,"Carregado / Azambuja (events: 2022, 2026)"
206,38.988813,-8.970271,8.353,False,"Carregado / Azambuja (events: 2022, 2026)"
207,38.989027,-8.970182,8.732,False,"Carregado / Azambuja (events: 2022, 2026)"
208,38.989241,-8.970093,9.178,False,"Carregado / Azambuja (events: 2022, 2026)"
209,38.989454,-8.970004,9.514,False,"Carregado / Azambuja (events: 2022, 2026)"
210,38.989668,-8.969915,9.339,False,"Carregado / Azambuja (events: 2022, 2026)"
211,38.989882,-8.969826,8.798,False,"Carregado / Azambuja (events: 2022, 2026)"
212,38.990096,-8.969737,8.207,False,"Carregado / Azambuja (events: 2022, 2026)"
213,38.99031,-8.969648,7.557,False,"Carregado / Azambuja (events: 2022, 2026)"
214,38.990524,-8.969558,6.852,False,"Carregado / Azambuja (events: 2022, 2026)"
215,38.990738,-8.969469,6.31,False,"Carregado / Azambuja (events: 2022, 2026)"
216,38.990953,-8.969385,6.021,False,"Carregado / Azambuja (events: 2022, 2026)"
217,38.99117,-8.969312,6.069,False,"Carregado / Azambuja (events: 2022, 2026)"
218,38.991388,-8.96924,6.414,False,"Carregado / Azambuja (events: 2022, 2026)"
219,38.991606,-8.969167,6.924,False,"Carregado / Azambuja (events: 2022, 2026)"
220,38.991823,-8.969094,7.635,False,"Carregado / Azambuja (events: 2022, 2026)"
221,38.992041,-8.969021,8.253,False,"Carregado / Azambuja (events: 2022, 2026)"
222,38.992258,-8.968948,8.859,False,"Carregado / Azambuja (events: 2022, 2026)"
223,38.992476,-8.968876,9.254,False,"Carregado / Azambuja (events: 2022, 2026)"
224,38.992694,-8.968803,9.4,False,"Carregado / Azambuja (events: 2022, 2026)"
225,38.992911,-8.96873,9.459,False,"Carregado / Azambuja (events: 2022, 2026)"
226,38.993129,-8.968657,9.282,False,"Carregado / Azambuja (events: 2022, 2026)"
227,38.993346,-8.968584,8.846,False,"Carregado / Azambuja (events: 2022, 2026)"
228,38.993566,-8.968525,8.056,False,"Carregado / Azambuja (events: 2022, 2026)"
229,38.993787,-8.968467,7.309,False,"Carregado / Azambuja (events: 2022, 2026)"
230,38.994007,-8.96841,6.727,False,"Carregado / Azambuja (events: 2022, 2026)"
231,38.994227,-8.968352,6.443,False,"Carregado / Azambuja (events: 2022, 2026)"
232,38.994448,-8.968295,6.369,False,"Carregado / Azambuja (events: 2022, 2026)"
233,38.994668,-8.968238,6.332,False,"Carregado / Azambuja (events: 2022, 2026)"
234,38.994888,-8.96818,6.172,False,"Carregado / Azambuja (events: 2022, 2026)"
235,38.995109,-8.968123,6.007,False,"Carregado / Azambuja (events: 2022, 2026)"
236,38.995329,-8.968066,5.795,False,"Carregado / Azambuja (events: 2022, 2026)"
237,38.99555,-8.968011,5.691,False,"Carregado / Azambuja (events: 2022, 2026)"
238,38.995772,-8.967967,5.863,False,"Carregado / Azambuja (events: 2022, 2026)"
239,38.995994,-8.967923,6.296,False,"Carregado / Azambuja (events: 2022, 2026)"
240,38.996217,-8.967878,6.889,False,"Carregado / Azambuja (events: 2022, 2026)"
241,38.996439,-8.967834,7.342,False,"Carregado / Azambuja (events: 2022, 2026)"
242,38.996661,-8.96779,7.559,False,"Carregado / Azambuja (events: 2022, 2026)"
243,38.996883,-8.967746,7.562,False,"Carregado / Azambuja (events: 2022, 2026)"
244,38.997105,-8.967701,7.516,False,"Carregado / Azambuja (events: 2022, 2026)"
245,38.997327,-8.967657,7.483,False,"Carregado / Azambuja (events: 2022, 2026)"
246,38.99755,-8.967613,7.493,False,"Carregado / Azambuja (events: 2022, 2026)"
247,38.997772,-8.967574,7.57,False,"Carregado / Azambuja (events: 2022, 2026)"
248,38.997996,-8.96754,7.684,False,"Carregado / Azambuja (events: 2022, 2026)"
249,38.998219,-8.967507,7.822,False,"Carregado / Azambuja (events: 2022, 2026)"
250,38.998442,-8.967474,8.026,False,"Carregado / Azambuja (events: 2022, 2026)"
251,38.998666,-8.967441,8.209,False,"Carregado / Azambuja (events: 2022, 2026)"
252,38.998889,-8.967412,8.249,False,"Carregado / Azambuja (events: 2022, 2026)"
253,38.999113,-8.967385,8.167,False,"Carregado / Azambuja (events: 2022, 2026)"
254,38.999337,-8.967357,7.64,False,"Carregado / Azambuja (events: 2022, 2026)"
255,38.999561,-8.967332,6.892,False,"Carregado / Azambuja (events: 2022, 2026)"
256,38.999785,-8.967309,6.261,False,"Carregado / Azambuja (events: 2022, 2026)"
257,39.000009,-8.967287,5.66,False,"Carregado / Azambuja (events: 2022, 2026)"
258,39.000233,-8.967264,5.05,False,"Carregado / Azambuja (events: 2022, 2026)"
259,39.000458,-8.967245,4.466,True,"Carregado / Azambuja (events: 2022, 2026)"
260,39.000682,-8.967226,3.934,True,"Carregado / Azambuja (events: 2022, 2026)"
261,39.000606,-8.967291,4.265,True,"Carregado / Azambuja (events: 2022, 2026)"
262,39.000397,-8.967394,4.938,True,"Carregado / Azambuja (events: 2022, 2026)"
263,39.000187,-8.967498,5.5,False,"Carregado / Azambuja (events: 2022, 2026)"
264,38.999977,-8.967601,5.984,False,"Carregado / Azambuja (events: 2022, 2026)"
265,38.999767,-8.967705,6.331,False,"Carregado / Azambuja (events: 2022, 2026)"
266,38.999557,-8.967808,6.629,False,"Carregado / Azambuja (events: 2022, 2026)"
267,38.999347,-8.967911,6.758,False,"Carregado / Azambuja (events: 2022, 2026)"
268,38.999137,-8.968015,6.797,False,"Carregado / Azambuja (events: 2022, 2026)"
269,38.998927,-8.968118,6.769,False,"Carregado / Azambuja (events: 2022, 2026)"
270,38.998717,-8.968222,6.953,False,"Carregado / Azambuja (events: 2022, 2026)"
271,38.998507,-8.968325,7.173,False,"Carregado / Azambuja (events: 2022, 2026)"
272,38.998297,-8.968428,7.594,False,"Carregado / Azambuja (events: 2022, 2026)"
273,38.998087,-8.968532,7.962,False,"Carregado / Azambuja (events: 2022, 2026)"
