idx,lat,lon,elev_m,below_threshold,flood_zone,note
93,38.662804,-8.959196,19.984,False,Bridge south approach viaduct (structural SLR exposure),
94,38.662431,-8.959519,19.642,False,Bridge south approach viaduct (structural SLR exposure),
95,38.662059,-8.959842,19.205,False,Bridge south approach viaduct (structural SLR exposure),
96,38.661687,-8.960165,19.299,False,Bridge south approach viaduct (structural SLR exposure),
97,38.661315,-8.960488,19.888,False,Bridge south approach viaduct (structural SLR exposure),
98,38.660943,-8.960812,20.133,False,Bridge south approach viaduct (structural SLR exposure),
99,38.660571,-8.961135,20.509,False,Bridge south approach viaduct (structural SLR exposure),
100,38.660198,-8.961458,21.05,False,Bridge south approach viaduct (structural SLR exposure),
101,38.659826,-8.961781,21.116,False,Bridge south approach viaduct (structural SLR exposure),
102,38.659454,-8.962105,20.352,False,Bridge south approach viaduct (structural SLR exposure),
103,38.659082,-8.962428,19.625,False,Bridge south approach viaduct (structural SLR exposure),
104,38.65871,-8.962751,19.801,False,Bridge south approach viaduct (structural SLR exposure),
105,38.658338,-8.963074,20.124,False,Bridge south approach viaduct (structural SLR exposure),
106,38.657966,-8.963397,20.089,False,Bridge south approach viaduct (structural SLR exposure),
107,38.657593,-8.963721,19.87,False,Bridge south approach viaduct (structural SLR exposure),
108,38.657221,-8.964044,19.626,False,Bridge south approach viaduct (structural SLR exposure),
109,38.656849,-8.964367,20.118,False,Bridge south approach viaduct (structural SLR exposure),
110,38.656477,-8.96469,20.976,False,Bridge south approach viaduct (structural SLR exposure),
111,38.656105,-8.965013,21.02,False,Bridge south approach viaduct (structural SLR exposure),
112,38.655733,-8.965337,20.207,False,Bridge south approach viaduct (structural SLR exposure),
113,38.65536,-8.96566,19.759,False,Bridge south approach viaduct (structural SLR exposure),
114,38.654988,-8.965983,21.351,False,Bridge south approach viaduct (structural SLR exposure),
115,38.654616,-8.966306,23.455,False,Bridge south approach viaduct (structural SLR exposure),
116,38.654244,-8.96663,25.475,False,Bridge south approach viaduct (structural SLR exposure),
117,38.653872,-8.966953,27.494,False,Bridge south approach viaduct (structural SLR exposure),
118,38.6535,-8.967276,29.103,False,Bridge south approach viaduct (structural SLR exposure),
119,38.653128,-8.967599,30.3,False,Bridge south approach viaduct (structural SLR exposure),
120,38.652755,-8.967922,31.048,False,Bridge south approach viaduct (structural SLR exposure),
121,38.652383,-8.968246,32.387,False,Bridge south approach viaduct (structural SLR exposure),
122,38.652011,-8.968569,34.176,False,Bridge south approach viaduct (structural SLR exposure),
123,38.651639,-8.968892,35.256,False,Bridge south approach viaduct (structural SLR exposure),
124,38.651267,-8.969215,36.122,False,Bridge south approach viaduct (structural SLR exposure),
125,38.650895,-8.969539,37.466,False,Bridge south approach viaduct (structural SLR exposure),
126,38.650522,-8.969862,38.416,False,Bridge south approach viaduct (structural SLR exposure),
127,38.65015,-8.970185,38.872,False,Bridge south approach viaduct (structural SLR exposure),
128,38.649778,-8.970508,38.332,False,Rail south approach (Fertagus) (tidal/SLR exposure),
129,38.649406,-8.970831,37.602,False,Rail south approach (Fertagus) (tidal/SLR exposure),
130,38.649034,-8.971155,37.226,False,Rail south approach (Fertagus) (tidal/SLR exposure),
131,38.648662,-8.971478,37.285,False,Rail south approach (Fertagus) (tidal/SLR exposure),
132,38.64829,-8.971801,36.673,False,Rail south approach (Fertagus) (tidal/SLR exposure),
133,38.647917,-8.972124,34.911,False,Rail south approach (Fertagus) (tidal/SLR exposure),
134,38.647545,-8.972448,33.931,False,Rail south approach (Fertagus) (tidal/SLR exposure),
135,38.647173,-8.972771,32.914,False,Rail south approach (Fertagus) (tidal/SLR exposure),
136,38.646801,-8.973094,31.559,False,Rail south approach (Fertagus) (tidal/SLR exposure),
137,38.646429,-8.973417,29.996,False,Rail south approach (Fertagus) (tidal/SLR exposure),
138,38.646057,-8.97374,28.203,False,Rail south approach (Fertagus) (tidal/SLR exposure),
139,38.645684,-8.974064,25.994,False,Rail south approach (Fertagus) (tidal/SLR exposure),
140,38.645312,-8.974387,25.66,False,Rail south approach (Fertagus) (tidal/SLR exposure),
141,38.64494,-8.97471,25.975,False,Rail south approach (Fertagus) (tidal/SLR exposure),
142,38.644568,-8.975033,25.683,False,Rail south approach (Fertagus) (tidal/SLR exposure),
143,38.644196,-8.975357,24.462,False,Rail south approach (Fertagus) (tidal/SLR exposure),
144,38.643824,-8.97568,23.071,False,Rail south approach (Fertagus) (tidal/SLR exposure),
