idx,lat,lon,elev_m,below_threshold,flood_zone
95,38.97562,-8.979596,20.34,False,"Carregado / Azambuja (events: 2022, 2026)"
96,38.97478,-8.98001,17.532,False,Alverca / Vila Franca de Xira (events: 2026)
97,38.97394,-8.980423,16.287,False,Alverca / Vila Franca de Xira (events: 2026)
98,38.9731,-8.980837,13.082,False,Alverca / Vila Franca de Xira (events: 2026)
99,38.97226,-8.98125,11.442,False,Alverca / Vila Franca de Xira (events: 2026)
100,38.97142,-8.981664,9.178,False,Alverca / Vila Franca de Xira (events: 2026)
101,38.97058,-8.982078,9.38,False,Alverca / Vila Franca de Xira (events: 2026)
102,38.969741,-8.982491,10.896,False,Alverca / Vila Franca de Xira (events: 2026)
103,38.9697,-8.982365,10.346,False,Alverca / Vila Franca de Xira (events: 2026)
104,38.969908,-8.982039,9.449,False,Alverca / Vila Franca de Xira (events: 2026)
105,38.969084,-8.982502,10.23,False,Alverca / Vila Franca de Xira (events: 2026)
106,38.968259,-8.982964,9.796,False,Alverca / Vila Franca de Xira (events: 2026)
107,38.967435,-8.983426,10.915,False,Alverca / Vila Franca de Xira (events: 2026)
108,38.966611,-8.983889,9.638,False,Alverca / Vila Franca de Xira (events: 2026)
109,38.965786,-8.984351,9.612,False,Alverca / Vila Franca de Xira (events: 2026)
110,38.964962,-8.984813,11.67,False,Alverca / Vila Franca de Xira (events: 2026)
111,38.964138,-8.985276,13.906,False,Alverca / Vila Franca de Xira (events: 2026)
112,38.963313,-8.985738,16.454,False,Alverca / Vila Franca de Xira (events: 2026)
113,38.962489,-8.9862,20.388,False,Alverca / Vila Franca de Xira (events: 2026)
114,38.961665,-8.986663,32.776,False,Alverca / Vila Franca de Xira (events: 2026)
115,38.96084,-8.987125,33.273,False,Alverca / Vila Franca de Xira (events: 2026)
116,38.960016,-8.987587,29.156,False,Alverca / Vila Franca de Xira (events: 2026)
117,38.959192,-8.98805,29.101,False,Alverca / Vila Franca de Xira (events: 2026)
118,38.958367,-8.988512,28.175,False,Alverca / Vila Franca de Xira (events: 2026)
119,38.957543,-8.988974,23.109,False,Alverca / Vila Franca de Xira (events: 2026)
120,38.956719,-8.989437,21.043,False,Alverca / Vila Franca de Xira (events: 2026)
121,38.955894,-8.989899,19.807,False,Alverca / Vila Franca de Xira (events: 2026)
122,38.95507,-8.990361,15.455,False,Alverca / Vila Franca de Xira (events: 2026)
123,38.954246,-8.990824,14.53,False,Alverca / Vila Franca de Xira (events: 2026)
124,38.953421,-8.991286,14.468,False,Alverca / Vila Franca de Xira (events: 2026)
125,38.952597,-8.991748,20.802,False,Alverca / Vila Franca de Xira (events: 2026)
126,38.951773,-8.992211,30.904,False,Alverca / Vila Franca de Xira (events: 2026)
127,38.950948,-8.992673,36.315,False,Alverca / Vila Franca de Xira (events: 2026)
128,38.950124,-8.993135,29.203,False,Alverca / Vila Franca de Xira (events: 2026)
129,38.9493,-8.993598,32.742,False,Alverca / Vila Franca de Xira (events: 2026)
130,38.948475,-8.99406,38.318,False,Alverca / Vila Franca de Xira (events: 2026)
131,38.947651,-8.994522,38.948,False,Alverca / Vila Franca de Xira (events: 2026)
132,38.946827,-8.994985,32.853,False,Alverca / Vila Franca de Xira (events: 2026)
133,38.946002,-8.995447,27.48,False,Alverca / Vila Franca de Xira (events: 2026)
134,38.945612,-8.995598,21.952,False,Alverca / Vila Franca de Xira (events: 2026)
135,38.946365,-8.994965,24.84,False,Alverca / Vila Franca de Xira (events: 2026)
136,38.947164,-8.994434,30.016,False,Alverca / Vila Franca de Xira (events: 2026)
137,38.948,-8.99401,34.22,False,Alverca / Vila Franca de Xira (events: 2026)
138,38.948863,-8.993693,32.507,False,Alverca / Vila Franca de Xira (events: 2026)
