scenario,variant,option,year,slr_m,closure_days_yr,annual_cost_low_M,annual_cost_mid_M,annual_cost_hi_M,cum_cost_low_bn,cum_cost_mid_bn,cum_cost_hi_bn
SSP1-2.6,baseline,C,2089,0.356,0.0006,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,C,2090,0.36,0.0006,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,C,2091,0.364,0.0006,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,C,2092,0.368,0.0007,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,C,2093,0.372,0.0007,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,C,2094,0.376,0.0007,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,C,2095,0.38,0.0007,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,C,2096,0.384,0.0008,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,C,2097,0.388,0.0008,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,C,2098,0.392,0.0008,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,C,2099,0.396,0.0008,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,baseline,C,2100,0.4,0.0009,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2025,0.185,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2026,0.192,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2027,0.199,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2028,0.206,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2029,0.213,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2030,0.22,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2031,0.226,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2032,0.232,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2033,0.238,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2034,0.244,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2035,0.25,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2036,0.256,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2037,0.262,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2038,0.268,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2039,0.274,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2040,0.28,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2041,0.287,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2042,0.294,0.0004,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2043,0.301,0.0004,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2044,0.308,0.0004,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2045,0.315,0.0004,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2046,0.322,0.0005,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2047,0.329,0.0005,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2048,0.336,0.0005,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2049,0.343,0.0005,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2050,0.35,0.0006,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2051,0.354,0.0006,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2052,0.358,0.0006,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2053,0.362,0.0006,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2054,0.366,0.0007,0.0,0.0,0.0,0.0,0.0,0.0
SSP1-2.6,+geoid,A,2055,0.37,0.0007,0.0,0.0,0.0,0.0,0.0,0.0
